frame_idx,event,side,value
0,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
0,velocity_saturation,,1.0
1,arm_branch_flip,left,-1
1,velocity_saturation,,1.0
2,touchdown,left,FLAT
2,touchdown,right,FLAT
2,velocity_saturation,,1.0000000000000002
3,velocity_saturation,,1.0000000000000002
4,velocity_saturation,,1.0000000000000002
5,load_transition,left,UNLOADED->SUPPORT
5,load_transition,right,UNLOADED->SUPPORT
5,arm_branch_flip,right,-1
9,velocity_saturation,,1.0000000000000002
10,velocity_saturation,,1.0000000000000002
11,velocity_saturation,,1.0
16,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
18,load_transition,right,SUPPORT->UNLOADING
27,liftoff,right,AIR
29,velocity_saturation,,1.0
30,velocity_saturation,,0.9999950202860847
31,touchdown,right,FLAT
34,velocity_saturation,,1.0
35,velocity_saturation,,0.9999856286826528
36,velocity_saturation,,0.9999997867832002
37,velocity_saturation,,0.9999985128843675
38,velocity_saturation,,1.0
39,liftoff,right,AIR
49,velocity_saturation,,1.0
51,load_transition,left,SUPPORT->UNLOADING
52,load_transition,right,UNLOADING->UNLOADED
53,touchdown,right,FLAT
55,velocity_saturation,,1.0000000000000002
56,load_transition,right,UNLOADED->LOADING
59,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
59,velocity_saturation,,0.9999999999999999
60,velocity_saturation,,1.0000000000000002
61,arm_branch_flip,left,1
61,velocity_saturation,,0.9999905992144924
63,liftoff,left,AIR
66,arm_branch_flip,left,-1
68,load_transition,right,LOADING->SUPPORT
74,touchdown,left,FLAT
78,liftoff,left,AIR
83,velocity_saturation,,0.9999936788098609
84,velocity_saturation,,1.0000000000000002
86,load_transition,right,SUPPORT->UNLOADING
86,velocity_saturation,,1.0000000000000002
87,velocity_saturation,,0.9999999999999999
88,velocity_saturation,,0.9999774774368418
89,touchdown,left,FLAT
89,load_transition,left,UNLOADING->LOADING
90,velocity_saturation,,0.9999899683790782
91,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
94,liftoff,right,AIR
95,velocity_saturation,,1.0000000000000002
99,load_transition,left,LOADING->SUPPORT
107,velocity_saturation,,1.0000000000000002
108,touchdown,right,FLAT
110,velocity_saturation,,0.9999999999999999
111,velocity_saturation,,0.9999999435948105
113,liftoff,right,AIR
116,velocity_saturation,,1.0000000000000002
120,load_transition,left,SUPPORT->UNLOADING
120,velocity_saturation,,0.9999946147309743
122,touchdown,right,FLAT
122,load_transition,right,UNLOADING->LOADING
128,liftoff,left,AIR
134,load_transition,right,LOADING->SUPPORT
145,velocity_saturation,,0.9999847467448812
146,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
149,velocity_saturation,,1.0000000000000002
150,velocity_saturation,,1.0
151,velocity_saturation,,1.0000000000000002
152,load_transition,right,SUPPORT->UNLOADING
154,velocity_saturation,,1.0
155,velocity_saturation,,0.9999999999999999
156,velocity_saturation,,1.0
157,load_transition,left,UNLOADING->UNLOADED
157,arm_branch_flip,left,1
157,qp_infeasible,,Stage B: NoSolutionFound: QP solver proxqp failed to find a solution.
158,touchdown,left,FLAT
159,arm_branch_flip,right,1
159,velocity_saturation,,0.99997808776012
161,load_transition,left,UNLOADED->LOADING
161,velocity_saturation,,0.9999971649886594
163,liftoff,right,AIR
166,load_transition,left,LOADING->SUPPORT
166,velocity_saturation,,1.0
167,velocity_saturation,,1.0000000000000002
168,velocity_saturation,,0.9999984048441412
170,velocity_saturation,,1.0000000000000002
176,arm_branch_flip,right,-1
178,touchdown,right,FLAT
179,arm_branch_flip,left,-1
183,liftoff,right,AIR
184,velocity_saturation,,0.9999983310687026
186,velocity_saturation,,0.9999762147526388
188,load_transition,left,SUPPORT->UNLOADING
190,arm_branch_flip,left,1
190,arm_branch_flip,right,1
190,velocity_saturation,,0.9999945277238316
191,arm_branch_flip,left,-1
192,load_transition,right,UNLOADING->UNLOADED
193,touchdown,right,FLAT
194,arm_branch_flip,right,-1
195,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
195,velocity_saturation,,1.0
196,load_transition,right,UNLOADED->LOADING
196,velocity_saturation,,1.0000000000000002
197,velocity_saturation,,0.9999689165477385
198,liftoff,left,AIR
198,velocity_saturation,,0.9999999936765616
199,arm_branch_flip,right,1
201,arm_branch_flip,right,-1
206,load_transition,right,LOADING->SUPPORT
206,velocity_saturation,,0.9999782250383462
214,touchdown,left,FLAT
214,velocity_saturation,,0.9999936076961367
219,liftoff,left,AIR
219,velocity_saturation,,0.9999968271598091
222,velocity_saturation,,1.0000000000000002
225,velocity_saturation,,0.9999951321099931
226,velocity_saturation,,0.999989924174237
227,load_transition,right,SUPPORT->UNLOADING
229,velocity_saturation,,1.0
230,load_transition,left,UNLOADING->UNLOADED
231,touchdown,left,FLAT
232,velocity_saturation,,0.9999895066331564
234,load_transition,left,UNLOADED->LOADING
234,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
234,velocity_saturation,,0.9999988938090263
235,arm_branch_flip,left,1
235,arm_branch_flip,right,1
235,velocity_saturation,,1.0000000000000002
235,qp_infeasible,,Stage B: NoSolutionFound: QP solver proxqp failed to find a solution.
236,liftoff,right,AIR
239,velocity_saturation,,0.9999938328096551
240,load_transition,left,LOADING->SUPPORT
241,velocity_saturation,,0.99999640814087
244,arm_branch_flip,left,-1
247,load_transition,left,SUPPORT->LOADING
250,load_transition,left,LOADING->SUPPORT
252,touchdown,right,FLAT
254,arm_branch_flip,right,-1
257,liftoff,right,AIR
259,arm_branch_flip,left,1
259,arm_branch_flip,right,1
259,velocity_saturation,,0.999996145067883
260,velocity_saturation,,1.0000000000000002
266,load_transition,left,SUPPORT->UNLOADING
266,velocity_saturation,,0.999999157077118
269,touchdown,right,FLAT
269,load_transition,right,UNLOADING->LOADING
275,arm_branch_flip,left,-1
276,liftoff,left,AIR
276,velocity_saturation,,0.9999871905203428
277,arm_branch_flip,right,-1
277,velocity_saturation,,1.0
278,load_transition,right,LOADING->SUPPORT
278,velocity_saturation,,1.0000000000000002
282,velocity_saturation,,0.9999867367805588
283,velocity_saturation,,1.0
284,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
286,velocity_saturation,,0.9999863356257964
287,velocity_saturation,,1.0000000000000002
288,velocity_saturation,,0.9999901322899742
290,velocity_saturation,,0.9999997934852735
292,arm_branch_flip,left,1
292,velocity_saturation,,1.0000000000000002
294,load_transition,right,SUPPORT->LOADING
296,touchdown,left,FLAT
296,load_transition,left,UNLOADING->LOADING
296,arm_branch_flip,left,-1
297,load_transition,right,LOADING->SUPPORT
298,load_transition,right,SUPPORT->UNLOADING
301,load_transition,right,UNLOADING->SUPPORT
302,load_transition,right,SUPPORT->UNLOADING
304,load_transition,left,LOADING->SUPPORT
305,load_transition,right,UNLOADING->SUPPORT
308,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
309,load_transition,right,SUPPORT->UNLOADING
309,velocity_saturation,,0.9999999999999999
311,velocity_saturation,,1.0
314,load_transition,right,UNLOADING->SUPPORT
314,arm_branch_flip,right,1
314,velocity_saturation,,0.9999999999999999
315,load_transition,right,SUPPORT->UNLOADING
315,arm_branch_flip,right,-1
318,load_transition,right,UNLOADING->SUPPORT
319,load_transition,left,SUPPORT->UNLOADING
319,velocity_saturation,,0.9998818782428875
320,velocity_saturation,,0.9999948032630676
322,load_transition,left,UNLOADING->SUPPORT
323,load_transition,left,SUPPORT->UNLOADING
323,load_transition,right,SUPPORT->UNLOADING
326,load_transition,left,UNLOADING->SUPPORT
326,load_transition,right,UNLOADING->SUPPORT
326,velocity_saturation,,1.0000000000000002
327,velocity_saturation,,0.9999997308827172
328,load_transition,left,SUPPORT->UNLOADING
328,load_transition,right,SUPPORT->UNLOADING
