active_collision_pair,frame_idx,frame_root_angular_budget_usage,frame_root_z_budget_usage,frame_velocity_budget_usage_max,left_anchor_error_xy,left_contact_confidence,left_contact_phase,left_contact_slack,left_elbow_branch_sign,left_foot_vxy,left_heel_height,left_liftoff_probability,left_load_phase,left_lock_weight,left_swing_clearance_error,left_toe_height,max_joint_delta,max_joint_velocity_ratio,min_self_collision_distance,qp_resolve_count,qp_status,right_anchor_error_xy,right_contact_confidence,right_contact_phase,right_contact_slack,right_elbow_branch_sign,right_foot_vxy,right_heel_height,right_liftoff_probability,right_load_phase,right_lock_weight,right_swing_clearance_error,right_toe_height,root_ddz,root_dz,root_z,safety_backtracked,solver_mode,stage_a_high_priority_error,stage_a_iterations,stage_b_detail_error,stage_b_high_priority_error,stage_b_iterations,stage_b_rejected,stage_c_iterations,stage_c_triggered
v3_pelvis_proxy:v3_left_hand_proxy,0,1.0000000000000002,1.0000000000000009,1.0,0.0,0.15839379798315506,AIR,0.0,-1,0.0,0.08525770565072524,0.0023940436302478324,UNLOADED,0.03160291926400454,0.0,0.12036389072584788,0.1884955592153876,1.0,0.04330809947503031,0,ok,0.0,0.20512518323593512,AIR,0.0,1,0.0,0.10417705615031606,0.012506182869824124,UNLOADED,0.04051197003663607,0.0,0.086688539237835,0.0,-0.0050000000000000044,0.745,0,staged_v3,0.5757745003609105,2,1.1353950966028095,0.5756265363931398,2,0,0,0
v3_pelvis_proxy:v3_left_hand_proxy,1,0.9999999999999999,1.0000000000000009,1.0,0.0,0.26841704847663117,AIR,0.0,-1,0.01178070089014354,0.08401572549208804,0.0037428855858611864,UNLOADED,0.07876481424618136,0.0,0.12653859827929914,0.1884955592153876,1.0,0.04473537834584396,0,ok,0.0,0.33655301080940886,AIR,0.0,1,0.017709768631056676,0.09306144567971479,0.020411806357989976,UNLOADED,0.09834624721402259,0.0,0.0913037714729252,0.0,-0.0050000000000000044,0.74,0,staged_v3,0.49921991567491136,2,1.0836413567424916,0.49946184873879307,2,0,0,0
v3_pelvis_proxy:v3_right_hand_proxy,2,1.0000000000000002,1.0000000000000009,0.9999999999999999,0.0,0.35513431445694643,FLAT,0.0,-1,0.009369548868183678,0.08219367589220618,0.004675844764442428,UNLOADED,0.13370660370334891,0.0,0.11968080541442096,0.18849555921538758,0.9999999999999999,0.049382631122118825,0,ok,0.0,0.4383197083155007,FLAT,0.0,-1,0.01856746270813404,0.0759624423377105,0.024551578697081286,UNLOADED,0.16418865127168028,0.0,0.09397845370709049,0.0,-0.0050000000000000044,0.735,0,staged_v3,0.4235411131084292,2,0.9880277855239525,0.42385401724394,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,3,0.9999999999999999,1.0000000000000009,0.3923309242556805,0.0,0.42633484762424023,FLAT,0.0,-1,0.005811600165089751,0.07876753557427862,0.0052113141991118805,UNLOADED,0.1917878995185271,0.0,0.11130907602174489,0.07395263696506438,0.3923309242556805,0.049261732034053776,0,ok,0.0,0.5186198432984841,FLAT,0.0,-1,0.017664468019979764,0.06453941833463961,0.025764101276683157,UNLOADED,0.23240253484367313,0.0,0.09381529837614187,0.0,-0.0050000000000000044,0.73,0,staged_v3,0.3485850297497721,2,0.89214374986772,0.34875465513630666,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,4,0.9999999999999996,1.0000000000000009,0.43892194000489043,0.0,0.47805541893909514,FLAT,0.0,-1,0.007553496844822445,0.07393162680644755,0.005517160140920206,UNLOADED,0.24851390174213636,0.0,0.1044194444214305,0.08273483653312463,0.43892194000489043,0.048828261544822074,0,ok,0.0,0.5818367471680671,FLAT,0.0,-1,0.017640086783158433,0.056780590834252395,0.0245135035177398,UNLOADED,0.29943680587886096,0.0,0.09189341331909423,0.0,-0.0050000000000000044,0.725,0,staged_v3,0.2787139148388824,2,0.817350112393572,0.27728299736397916,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,5,1.0000000000000002,1.0000000000000009,0.6395819298052534,0.0,0.519593753213559,FLAT,0.0,-1,0.009006699552346016,0.06879069986995301,0.006044387290395158,SUPPORT,0.3021017468608024,0.0,0.09929659212058164,0.12055835352269803,0.6395819298052534,0.04854609555624842,0,ok,0.010920767239327648,0.6298359476946884,FLAT,0.0,-1,0.012357770570807055,0.05081646524299337,0.02201791832778699,SUPPORT,0.3627430989507773,0.0,0.0886786784775397,0.0,-0.0050000000000000044,0.72,0,staged_v3,0.2156063584339082,2,0.8094339321579459,0.20915193454730704,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,6,0.8675039061388891,1.0000000000000009,0.7412660525630471,0.0,0.554600231926289,FLAT,0.0,-1,0.006524089987195336,0.06387485942984975,0.03553798919334411,SUPPORT,0.3486595684641352,0.0,0.09589440472923472,0.13972535910525447,0.7412660525630471,0.04824244152529571,0,ok,0.01797269279717899,0.6756841955118597,FLAT,0.0,-1,0.009181457822829205,0.0462362712036657,0.047561683982761956,SUPPORT,0.4129080185433351,0.0,0.08474849257259234,0.0,-0.0050000000000000044,0.715,0,staged_v3,0.16865849125602966,2,0.8358376822792224,0.1495788474927688,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,7,0.5440522808184558,1.0000000000000009,0.683278376534431,0.016133501502578595,0.5734251058329074,FLAT,0.0,-1,0.01057461434994889,0.05961976483742967,0.05784159872023728,SUPPORT,0.38697911096435034,0.0,0.09312154931791997,0.12879493968463976,0.683278376534431,0.04783788036591889,0,ok,0.03359217285013823,0.7224514886505192,FLAT,0.0,-1,0.005017373329287211,0.04331173324611483,0.06547190246407236,SUPPORT,0.44898990830286456,0.0,0.08133556751564124,0.0,-0.0050000000000000044,0.71,0,staged_v3,0.12431829057930138,2,0.8797918154365091,0.10823738005644357,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,8,0.33207506242123264,1.0000000000000009,0.3669181633125842,0.03081806819725709,0.5984934224935644,FLAT,0.0,-1,0.005513031220707264,0.05559355318641,0.07546196448032766,SUPPORT,0.4093067120470418,0.0,0.08969304843505096,0.06916244437988847,0.3669181633125842,0.04771616658199522,0,ok,0.04901025183925722,0.761341260322734,FLAT,0.0,-1,0.005313604511593667,0.04028229588348772,0.07906106466020343,SUPPORT,0.44919192664229163,0.0,0.07790008542990023,0.0,-0.0050000000000000044,0.705,0,staged_v3,0.10217201242681796,2,0.8862058937730429,0.10321015458860187,2,1,0,0
v3_torso_proxy:v3_left_forearm_proxy,9,0.25943535950035645,1.0000000000000009,0.32093204120723967,0.04839752468380498,0.6195799045633055,FLAT,0.0,-1,0.004773725548742399,0.05168598513995924,0.09029702004914517,SUPPORT,0.4174453696376334,0.0,0.08669687206072674,0.06049426457749446,0.32093204120723967,0.047441849982170395,0,ok,0.0691794971367953,0.788861848817987,FLAT,0.0,-1,0.008542253139170243,0.038926896386622174,0.08882757727744786,SUPPORT,0.4493535413138333,0.0,0.07579519271513672,0.0,-0.0050000000000000044,0.7,0,staged_v3,0.10366655908554467,2,0.9089670742979831,0.10552788716794369,2,1,0,0
