frame_idx,event,side,value
0,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
0,velocity_saturation,,1.0
1,velocity_saturation,,1.0
2,touchdown,left,FLAT
2,touchdown,right,FLAT
2,arm_branch_flip,right,-1
2,velocity_saturation,,0.9999999999999999
5,load_transition,left,UNLOADED->SUPPORT
5,load_transition,right,UNLOADED->SUPPORT
11,load_transition,right,SUPPORT->UNLOADING
21,load_transition,left,SUPPORT->UNLOADING
22,load_transition,right,UNLOADING->SUPPORT
26,velocity_saturation,,0.9999999999999999
27,velocity_saturation,,0.9999998309848832
40,load_transition,left,UNLOADING->LOADING
41,load_transition,right,SUPPORT->UNLOADING
41,velocity_saturation,,0.9999994764256521
42,velocity_saturation,,1.0000000000000002
48,velocity_saturation,,1.0000000000000002
50,velocity_saturation,,1.0000000000000002
51,load_transition,left,LOADING->SUPPORT
51,velocity_saturation,,1.0000000000000002
53,velocity_saturation,,1.0000000000000002
54,velocity_saturation,,1.0000000000000002
55,velocity_saturation,,0.9999993885728552
56,load_transition,right,UNLOADING->SUPPORT
56,velocity_saturation,,0.999997893799191
57,load_transition,left,SUPPORT->UNLOADING
57,velocity_saturation,,1.0000000000000002
59,velocity_saturation,,1.0000000000000002
60,velocity_saturation,,1.0000000000000002
63,velocity_saturation,,1.0000000000000002
64,velocity_saturation,,1.0000000000000002
66,velocity_saturation,,1.0000000000000002
67,velocity_saturation,,1.0000000000000002
68,arm_branch_flip,left,1
68,velocity_saturation,,1.0000000000000002
69,velocity_saturation,,1.0000000000000002
71,velocity_saturation,,0.9999980893519599
72,load_transition,left,UNLOADING->SUPPORT
73,load_transition,left,SUPPORT->UNLOADING
73,velocity_saturation,,1.0000000000000002
77,velocity_saturation,,1.0000000000000002
79,load_transition,left,UNLOADING->SUPPORT
79,velocity_saturation,,1.0
80,load_transition,left,SUPPORT->UNLOADING
80,load_transition,right,SUPPORT->UNLOADING
80,velocity_saturation,,1.0000000000000002
81,velocity_saturation,,0.9999994500548737
82,velocity_saturation,,0.9999994276990241
83,load_transition,left,UNLOADING->SUPPORT
83,load_transition,right,UNLOADING->SUPPORT
83,velocity_saturation,,1.0000000000000002
84,load_transition,right,SUPPORT->UNLOADING
85,velocity_saturation,,1.0000000000000002
86,velocity_saturation,,1.0000000000000002
87,velocity_saturation,,1.0000000000000002
88,velocity_saturation,,0.999999999999999
90,velocity_saturation,,0.9999995437314289
93,velocity_saturation,,0.9999968679918585
98,velocity_saturation,,1.0000000000000002
99,velocity_saturation,,0.9999902462172728
100,load_transition,right,UNLOADING->SUPPORT
100,velocity_saturation,,0.9999921743393648
101,load_transition,left,SUPPORT->UNLOADING
101,velocity_saturation,,1.0000000000000002
104,velocity_saturation,,1.0000000000000002
105,velocity_saturation,,1.0000000000000002
106,velocity_saturation,,1.0000000000000002
107,velocity_saturation,,0.9999807531049173
109,velocity_saturation,,1.0000000000000002
110,load_transition,left,UNLOADING->SUPPORT
110,velocity_saturation,,0.9999997504668703
111,load_transition,left,SUPPORT->UNLOADING
111,load_transition,right,SUPPORT->UNLOADING
111,qp_infeasible,,Stage B: NoSolutionFound: QP solver proxqp failed to find a solution.
