frame_idx,event,side,value
0,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
0,velocity_saturation,,1.0
1,velocity_saturation,,1.0
2,touchdown,left,FLAT
2,touchdown,right,FLAT
2,arm_branch_flip,right,-1
2,velocity_saturation,,0.9999999999999999
5,load_transition,left,UNLOADED->SUPPORT
5,load_transition,right,UNLOADED->SUPPORT
9,load_transition,left,SUPPORT->UNLOADING
21,velocity_saturation,,1.0
22,velocity_saturation,,1.0000000000000002
23,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
25,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
25,velocity_saturation,,1.0000000000000002
26,arm_branch_flip,right,1
27,load_transition,left,UNLOADING->SUPPORT
28,load_transition,right,SUPPORT->UNLOADING
32,velocity_saturation,,0.9999913670243072
39,load_transition,right,UNLOADING->SUPPORT
40,load_transition,right,SUPPORT->UNLOADING
45,velocity_saturation,,1.0000000000000002
47,arm_branch_flip,right,-1
47,velocity_saturation,,1.0000000000000002
48,velocity_saturation,,1.0
49,velocity_saturation,,0.9999877792738481
51,load_transition,right,UNLOADING->SUPPORT
53,velocity_saturation,,0.9999999999999999
54,load_transition,left,SUPPORT->UNLOADING
54,load_transition,right,SUPPORT->UNLOADING
57,load_transition,left,UNLOADING->SUPPORT
57,load_transition,right,UNLOADING->SUPPORT
58,velocity_saturation,,1.0
59,load_transition,left,SUPPORT->UNLOADING
59,load_transition,right,SUPPORT->UNLOADING
60,velocity_saturation,,1.0000000000000002
61,velocity_saturation,,1.0000000000000002
62,load_transition,left,UNLOADING->SUPPORT
62,load_transition,right,UNLOADING->SUPPORT
63,load_transition,left,SUPPORT->UNLOADING
63,load_transition,right,SUPPORT->UNLOADING
64,velocity_saturation,,1.0000000000000002
65,velocity_saturation,,1.0000000000000002
66,load_transition,left,UNLOADING->SUPPORT
66,load_transition,right,UNLOADING->SUPPORT
66,velocity_saturation,,1.0000000000000002
67,load_transition,right,SUPPORT->UNLOADING
67,velocity_saturation,,1.0
69,velocity_saturation,,0.9999896157754217
71,velocity_saturation,,0.9998152662584461
72,arm_branch_flip,right,1
72,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
80,arm_branch_flip,right,-1
84,load_transition,right,UNLOADING->SUPPORT
84,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
85,load_transition,left,SUPPORT->UNLOADING
88,load_transition,left,UNLOADING->SUPPORT
90,velocity_saturation,,1.0
91,load_transition,left,SUPPORT->UNLOADING
91,load_transition,right,SUPPORT->UNLOADING
91,velocity_saturation,,1.0
94,load_transition,left,UNLOADING->SUPPORT
94,load_transition,right,UNLOADING->SUPPORT
95,load_transition,left,SUPPORT->UNLOADING
95,load_transition,right,SUPPORT->UNLOADING
95,velocity_saturation,,1.0
96,velocity_saturation,,1.0
98,load_transition,left,UNLOADING->SUPPORT
98,load_transition,right,UNLOADING->SUPPORT
100,load_transition,left,SUPPORT->UNLOADING
100,load_transition,right,SUPPORT->UNLOADING
100,velocity_saturation,,0.9999956273072279
103,load_transition,left,UNLOADING->SUPPORT
103,load_transition,right,UNLOADING->SUPPORT
