frame_idx,event,side,value
0,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
0,velocity_saturation,,1.0
1,velocity_saturation,,1.0
2,touchdown,left,FLAT
2,touchdown,right,FLAT
2,velocity_saturation,,0.9999999999999999
3,arm_branch_flip,right,-1
3,velocity_saturation,,1.0000000000000002
5,load_transition,left,UNLOADED->SUPPORT
5,load_transition,right,UNLOADED->SUPPORT
9,load_transition,left,SUPPORT->UNLOADING
20,liftoff,left,AIR
21,load_transition,right,SUPPORT->UNLOADING
28,load_transition,left,UNLOADING->UNLOADED
29,liftoff,right,AIR
30,touchdown,left,FLAT
32,touchdown,right,FLAT
33,load_transition,left,UNLOADED->LOADING
33,velocity_saturation,,1.0000000000000002
35,velocity_saturation,,1.0
36,load_transition,left,LOADING->SUPPORT
36,velocity_saturation,,0.9999688302452288
39,liftoff,right,AIR
39,velocity_saturation,,1.0000000000000002
40,velocity_saturation,,1.0000000000000002
41,load_transition,left,SUPPORT->UNLOADING
41,velocity_saturation,,1.0000000000000002
43,velocity_saturation,,1.0000000000000002
47,load_transition,right,UNLOADING->UNLOADED
47,velocity_saturation,,0.999963459272214
48,liftoff,left,AIR
50,touchdown,right,FLAT
50,load_transition,right,UNLOADED->LOADING
58,load_transition,right,LOADING->UNLOADING
67,load_transition,left,UNLOADING->UNLOADED
68,liftoff,right,AIR
70,touchdown,left,FLAT
70,load_transition,left,UNLOADED->LOADING
76,velocity_saturation,,0.9998917957614497
77,load_transition,left,LOADING->SUPPORT
78,velocity_saturation,,1.0
80,load_transition,left,SUPPORT->UNLOADING
83,velocity_saturation,,0.9999993647906458
87,load_transition,right,UNLOADING->UNLOADED
90,velocity_saturation,,1.0
91,touchdown,right,FLAT
91,load_transition,right,UNLOADED->LOADING
91,velocity_saturation,,1.0
94,liftoff,left,AIR
98,load_transition,right,LOADING->SUPPORT
101,load_transition,right,SUPPORT->UNLOADING
106,load_transition,left,UNLOADING->UNLOADED
106,velocity_saturation,,0.9999922193641642
107,liftoff,right,AIR
107,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
107,velocity_saturation,,1.0000000000000002
108,velocity_saturation,,0.9999999936192421
109,velocity_saturation,,0.9999912645533285
110,touchdown,left,FLAT
110,load_transition,left,UNLOADED->LOADING
112,touchdown,right,FLAT
113,velocity_saturation,,1.0000000000000002
114,velocity_saturation,,1.0000000000000002
116,liftoff,right,AIR
117,load_transition,left,LOADING->SUPPORT
121,velocity_saturation,,1.0000000000000002
122,load_transition,left,SUPPORT->UNLOADING
125,velocity_saturation,,0.9999982532530062
126,velocity_saturation,,1.0000000000000002
128,liftoff,left,AIR
128,load_transition,right,UNLOADING->UNLOADED
132,touchdown,right,FLAT
132,load_transition,right,UNLOADED->LOADING
132,velocity_saturation,,0.9999982700183149
140,load_transition,right,LOADING->SUPPORT
143,load_transition,right,SUPPORT->UNLOADING
148,load_transition,left,UNLOADING->UNLOADED
149,liftoff,right,AIR
149,velocity_saturation,,0.9999999022718312
150,velocity_saturation,,1.0
151,touchdown,left,FLAT
151,load_transition,left,UNLOADED->LOADING
153,touchdown,right,FLAT
155,velocity_saturation,,1.0
