frame_idx,event,side,value
0,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
0,velocity_saturation,,1.0
1,velocity_saturation,,1.0
2,touchdown,left,FLAT
2,touchdown,right,FLAT
2,arm_branch_flip,right,-1
2,velocity_saturation,,0.9999999999999999
5,load_transition,left,UNLOADED->SUPPORT
5,load_transition,right,UNLOADED->SUPPORT
8,load_transition,left,SUPPORT->LOADING
8,load_transition,right,SUPPORT->LOADING
11,load_transition,left,LOADING->UNLOADING
12,load_transition,right,LOADING->SUPPORT
16,load_transition,right,SUPPORT->UNLOADING
18,liftoff,left,AIR
19,load_transition,right,UNLOADING->LOADING
20,velocity_saturation,,1.0000000000000002
21,arm_branch_flip,left,1
21,velocity_saturation,,1.0000000000000002
23,velocity_saturation,,1.0
24,touchdown,left,FLAT
24,load_transition,left,UNLOADING->LOADING
24,velocity_saturation,,0.9999999999999999
26,load_transition,right,LOADING->UNLOADING
26,velocity_saturation,,0.9999874941240218
34,liftoff,right,AIR
35,load_transition,left,LOADING->SUPPORT
35,velocity_saturation,,1.0
36,velocity_saturation,,1.0000000000000002
37,velocity_saturation,,1.0000000000000002
38,arm_branch_flip,left,-1
38,velocity_saturation,,1.0000000000000002
40,touchdown,right,FLAT
40,velocity_saturation,,1.0000000000000002
41,velocity_saturation,,1.0000000000000002
42,velocity_saturation,,1.0000000000000002
43,velocity_saturation,,1.0000000000000002
44,load_transition,right,UNLOADING->LOADING
44,velocity_saturation,,1.0000000000000002
48,load_transition,right,LOADING->UNLOADING
49,velocity_saturation,,0.9999999868545721
51,collision_constraint_activation,,v3_right_hand_proxy:v3_left_hand_proxy
52,velocity_saturation,,0.9999618028130424
53,load_transition,left,SUPPORT->UNLOADING
53,velocity_saturation,,1.0000000000000002
55,liftoff,right,AIR
56,load_transition,left,UNLOADING->SUPPORT
64,load_transition,left,SUPPORT->UNLOADING
65,touchdown,right,FLAT
65,load_transition,right,UNLOADING->LOADING
68,velocity_saturation,,1.0000000000000002
69,velocity_saturation,,1.0000000000000002
70,velocity_saturation,,1.0000000000000002
71,velocity_saturation,,1.0000000000000002
76,liftoff,left,AIR
79,velocity_saturation,,1.0000000000000002
80,velocity_saturation,,1.0000000000000002
81,velocity_saturation,,1.0000000000000002
82,velocity_saturation,,1.0
83,touchdown,left,FLAT
83,collision_constraint_activation,,v3_right_hand_proxy:v3_left_hand_proxy
86,load_transition,left,UNLOADING->LOADING
88,load_transition,right,LOADING->SUPPORT
89,load_transition,left,LOADING->UNLOADING
89,velocity_saturation,,0.9999999999999999
92,load_transition,right,SUPPORT->UNLOADING
95,liftoff,left,AIR
97,load_transition,right,UNLOADING->LOADING
97,velocity_saturation,,1.0000000000000002
103,touchdown,left,FLAT
103,load_transition,left,UNLOADING->LOADING
104,load_transition,right,LOADING->UNLOADING
105,velocity_saturation,,1.0000000000000002
106,velocity_saturation,,1.0000000000000002
112,liftoff,right,AIR
113,load_transition,left,LOADING->SUPPORT
117,touchdown,right,FLAT
117,velocity_saturation,,0.9999916149476369
119,velocity_saturation,,0.9999872300934062
121,load_transition,right,UNLOADING->LOADING
123,load_transition,left,SUPPORT->LOADING
