active_collision_pair,frame_idx,frame_root_angular_budget_usage,frame_root_z_budget_usage,frame_velocity_budget_usage_max,left_anchor_error_xy,left_contact_confidence,left_contact_phase,left_contact_slack,left_elbow_branch_sign,left_foot_vxy,left_heel_height,left_liftoff_probability,left_load_phase,left_lock_weight,left_swing_clearance_error,left_toe_height,max_joint_delta,max_joint_velocity_ratio,min_self_collision_distance,qp_resolve_count,qp_status,right_anchor_error_xy,right_contact_confidence,right_contact_phase,right_contact_slack,right_elbow_branch_sign,right_foot_vxy,right_heel_height,right_liftoff_probability,right_load_phase,right_lock_weight,right_swing_clearance_error,right_toe_height,root_ddz,root_dz,root_z,safety_backtracked,solver_mode,stage_a_high_priority_error,stage_a_iterations,stage_b_detail_error,stage_b_high_priority_error,stage_b_iterations,stage_b_rejected,stage_c_iterations,stage_c_triggered
v3_pelvis_proxy:v3_left_hand_proxy,0,0.9999999999999999,1.0000000000000009,1.0,0.0,0.21898645846368348,AIR,0.0,-1,0.0,0.0866273766220284,0.0011564395286849279,UNLOADED,0.04374664277337387,0.0,0.1197109996670861,0.1884955592153876,1.0,0.042229432241750256,0,ok,0.0,0.21229004262780823,AIR,0.0,1,0.0,0.1028725296674839,0.003186664223192333,UNLOADED,0.04232270910880525,0.0,0.0873998420801042,0.0,-0.0050000000000000044,0.745,0,staged_v3,0.631095608047312,2,1.1377633680270305,0.6095697364969269,2,0,0,0
v3_pelvis_proxy:v3_left_hand_proxy,1,1.0,1.0000000000000009,1.0,0.0,0.37525827233709996,AIR,0.0,-1,0.005589951240809244,0.08875317451730208,0.0021644449634366024,UNLOADED,0.1098865235106095,0.0,0.1314853597343824,0.1884955592153876,1.0,0.04443648278755481,0,ok,0.0,0.35665499918955196,AIR,0.0,1,0.011710574489433695,0.09160768276266919,0.005470008915394942,UNLOADED,0.1047989859198972,0.0,0.09205178571837322,0.0,-0.0050000000000000044,0.74,0,staged_v3,0.5234706027375163,2,1.0849245276262725,0.5181497284985426,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,2,0.9999999999999999,1.0000000000000009,0.9999999999999999,0.0,0.4920307607024069,FLAT,0.0,-1,0.008159204679894347,0.08952026524649132,0.007697772692231748,UNLOADED,0.1855578627582744,0.0,0.12548240018199797,0.18849555921538758,0.9999999999999999,0.04976323399106443,0,ok,0.0,0.4609245767236539,FLAT,0.0,-1,0.01806280255465989,0.07466972664076527,0.007936536735831484,UNLOADED,0.17529247511352558,0.0,0.09527469535014715,0.0,-0.0050000000000000044,0.735,0,staged_v3,0.43948455793706137,2,0.9735868384839245,0.43816016106474104,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,3,1.0000000000000007,1.0000000000000009,0.521282888463773,0.0,0.5888727656420993,FLAT,0.0,-1,0.007680173922026104,0.08768875962367911,0.011662575261579622,UNLOADED,0.2648472887452803,0.0,0.11440871667937616,0.09825950957039142,0.521282888463773,0.049634161264029794,0,ok,0.0,0.5400848056427507,FLAT,0.0,-1,0.021012414735488087,0.06412897278627396,0.010679466467973683,UNLOADED,0.24709737770502585,0.0,0.0948201427521562,0.0,-0.0050000000000000044,0.73,0,staged_v3,0.36438758376004754,2,0.8512321010747113,0.3651659342409055,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,4,1.0000000000000007,1.0000000000000009,0.5144238633700731,0.0,0.6668716845297503,FLAT,0.0,-1,0.007658838514429402,0.08178358105869318,0.014503480442760782,UNLOADED,0.34331777581529266,0.0,0.10436323009305505,0.09696661379968208,0.5144238633700731,0.05234459157434149,0,ok,0.0,0.6006823261694703,FLAT,0.0,-1,0.022483359482436585,0.05773563740507713,0.012644861503757347,UNLOADED,0.31629525843348116,0.0,0.0922902359065859,0.0,-0.0050000000000000044,0.725,0,staged_v3,0.2944409646526639,2,0.8161649082188558,0.29561742300352406,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,5,0.9999999999999992,1.0000000000000009,0.6366134035455853,0.022979324360428013,0.7280703176294376,FLAT,0.0,-1,0.006436167240251132,0.07489457118533702,0.016855770846033357,SUPPORT,0.4178138468913695,0.0,0.09736668141914019,0.11999879950533632,0.6366134035455853,0.056583868725508316,0,ok,0.011845264478004595,0.6599741085266366,FLAT,0.0,-1,0.014840579997888754,0.05270346625293937,0.014368988303221848,SUPPORT,0.38313439640294256,0.0,0.08907220324600756,0.0,-0.0050000000000000044,0.72,0,staged_v3,0.22618779001581604,2,0.8473347621726822,0.2267934019619763,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,6,0.8483943511899659,1.0000000000000009,0.7157365875454971,0.0453190810394706,0.7766757446047288,FLAT,0.0,-1,0.0071795015539213025,0.06793287175904833,0.04709384722039202,SUPPORT,0.4540873528213775,0.0,0.09251422302587858,0.1349131683203017,0.7157365875454971,0.0611029110227302,0,ok,0.020501585788193763,0.7104874547581906,FLAT,0.0,-1,0.010879449365826388,0.04851064972230715,0.04431009630137962,SUPPORT,0.4348968710830564,0.0,0.08524600840437699,0.0,-0.0050000000000000044,0.715,0,staged_v3,0.1819936021583091,2,0.8894163130303796,0.1688719637977665,2,0,0,0
v3_torso_proxy:v3_right_forearm_proxy,7,0.5203945570672787,1.0000000000000009,0.64074458030604,0.06048939606176622,0.8135096381086209,FLAT,0.0,-1,0.006437012726207999,0.06163192154251029,0.06901374949050323,SUPPORT,0.45350344527546643,0.0,0.08808873931981828,0.12077750797901585,0.64074458030604,0.06121425289408011,0,ok,0.0369665919702551,0.7586327704713339,FLAT,0.0,-1,0.003893429366035624,0.04560127346851756,0.06586366886087155,SUPPORT,0.4677171775164433,0.0,0.08156251812234824,0.0,-0.0050000000000000044,0.71,0,staged_v3,0.1423245894247244,2,0.939997010062527,0.13197822577587298,2,0,0,0
v3_torso_proxy:v3_right_forearm_proxy,8,0.3794155672513164,1.0000000000000009,0.561828678895234,0.0771833636213127,0.8394438148408834,FLAT,0.0,-1,0.009424813971889344,0.05616348399327806,0.08488071421852302,SUPPORT,0.45300295309325694,0.0,0.08386163982157017,0.10590221101159958,0.561828678895234,0.06229626863708862,0,ok,0.0565461632095196,0.7910837464810831,FLAT,0.0,-1,0.008892487120293877,0.04357098359039052,0.08137555227973897,SUPPORT,0.4651861521569514,0.0,0.0788882798489087,0.0,-0.0050000000000000044,0.705,0,staged_v3,0.1120417878321555,2,0.9785814099019506,0.1048002810082258,2,0,0,0
v3_torso_proxy:v3_right_forearm_proxy,9,0.2371832883978546,1.0000000000000009,0.4559062794479301,0.09613101207680598,0.8038141530639307,FLAT,0.0,-1,0.0433690233539233,0.0510530148397221,0.09514432913095774,SUPPORT,0.4525739597942202,0.0,0.07975030700099803,0.08593630909434435,0.4559062794479301,0.06425531129978626,0,ok,0.07684091149951706,0.7873250535780167,FLAT,0.0,-1,0.028342488808654972,0.041721923074257275,0.09245653834901602,SUPPORT,0.4630167018488155,0.0,0.0771361032740944,0.0,-0.0050000000000000044,0.7,0,staged_v3,0.09152649385059076,2,1.0057231201848074,0.08767690112234852,2,0,0,0
