frame_idx,event,side,value
0,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
0,velocity_saturation,,1.0
1,velocity_saturation,,1.0
2,touchdown,left,FLAT
2,touchdown,right,FLAT
2,arm_branch_flip,right,-1
2,velocity_saturation,,0.9999999999999999
5,load_transition,left,UNLOADED->SUPPORT
5,load_transition,right,UNLOADED->SUPPORT
10,load_transition,left,SUPPORT->UNLOADING
20,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
20,velocity_saturation,,0.9999998399810153
22,velocity_saturation,,1.0
23,load_transition,left,UNLOADING->SUPPORT
23,velocity_saturation,,1.0
24,load_transition,left,SUPPORT->UNLOADING
24,load_transition,right,SUPPORT->UNLOADING
24,velocity_saturation,,0.9999996470321566
27,load_transition,left,UNLOADING->SUPPORT
27,load_transition,right,UNLOADING->SUPPORT
28,load_transition,left,SUPPORT->UNLOADING
34,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
36,velocity_saturation,,0.9999968102275129
39,load_transition,left,UNLOADING->SUPPORT
40,velocity_saturation,,1.0000000000000002
41,load_transition,right,SUPPORT->UNLOADING
42,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
44,velocity_saturation,,1.0
45,velocity_saturation,,1.0
48,velocity_saturation,,1.0
49,velocity_saturation,,1.0
50,velocity_saturation,,1.0
51,velocity_saturation,,1.0
58,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
60,load_transition,right,UNLOADING->SUPPORT
61,load_transition,left,SUPPORT->UNLOADING
63,velocity_saturation,,0.9999999999999999
73,velocity_saturation,,0.9999416815527135
75,velocity_saturation,,0.9999999999999999
78,velocity_saturation,,0.9999779054442696
79,load_transition,left,UNLOADING->SUPPORT
84,velocity_saturation,,1.0
85,load_transition,left,SUPPORT->UNLOADING
85,load_transition,right,SUPPORT->UNLOADING
85,velocity_saturation,,1.0000000000000002
88,load_transition,left,UNLOADING->SUPPORT
88,load_transition,right,UNLOADING->SUPPORT
88,velocity_saturation,,0.9999995468187713
89,load_transition,left,SUPPORT->UNLOADING
95,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
95,velocity_saturation,,0.9999413767030565
97,velocity_saturation,,1.0000000000000002
100,velocity_saturation,,1.0
101,velocity_saturation,,1.0
106,load_transition,left,UNLOADING->SUPPORT
107,load_transition,right,SUPPORT->UNLOADING
108,velocity_saturation,,0.9999999260515727
110,load_transition,right,UNLOADING->SUPPORT
111,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
112,load_transition,left,SUPPORT->UNLOADING
112,load_transition,right,SUPPORT->UNLOADING
115,load_transition,left,UNLOADING->SUPPORT
115,load_transition,right,UNLOADING->SUPPORT
119,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
119,velocity_saturation,,1.0
121,load_transition,left,SUPPORT->UNLOADING
121,velocity_saturation,,1.0000000000000002
122,velocity_saturation,,1.0000000000000002
124,load_transition,left,UNLOADING->SUPPORT
124,velocity_saturation,,0.9999999040322818
125,load_transition,left,SUPPORT->UNLOADING
125,load_transition,right,SUPPORT->UNLOADING
125,velocity_saturation,,1.0000000000000002
