frame_idx,event,side,value
0,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
0,velocity_saturation,,1.0
1,velocity_saturation,,1.0
2,touchdown,left,FLAT
2,touchdown,right,FLAT
2,arm_branch_flip,right,-1
2,velocity_saturation,,0.9999999999999999
5,load_transition,left,UNLOADED->SUPPORT
5,load_transition,right,UNLOADED->SUPPORT
22,load_transition,left,SUPPORT->UNLOADING
22,load_transition,right,SUPPORT->UNLOADING
22,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
22,velocity_saturation,,1.0
24,velocity_saturation,,0.999998733518455
25,load_transition,left,UNLOADING->SUPPORT
25,load_transition,right,UNLOADING->SUPPORT
25,velocity_saturation,,1.0000000000000002
26,load_transition,left,SUPPORT->UNLOADING
26,load_transition,right,SUPPORT->UNLOADING
28,velocity_saturation,,0.9999999630508186
29,load_transition,left,UNLOADING->SUPPORT
29,load_transition,right,UNLOADING->SUPPORT
30,load_transition,left,SUPPORT->UNLOADING
30,load_transition,right,SUPPORT->UNLOADING
33,load_transition,left,UNLOADING->SUPPORT
33,load_transition,right,UNLOADING->SUPPORT
36,velocity_saturation,,0.9999972924145111
37,load_transition,right,SUPPORT->LOADING
39,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
39,velocity_saturation,,1.0000000000000002
40,velocity_saturation,,0.9999997048765903
41,load_transition,left,SUPPORT->UNLOADING
44,load_transition,left,UNLOADING->LOADING
45,velocity_saturation,,0.9999999999999999
47,load_transition,right,LOADING->SUPPORT
47,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
47,velocity_saturation,,1.0000000000000002
48,load_transition,right,SUPPORT->UNLOADING
48,velocity_saturation,,1.0
49,load_transition,left,LOADING->UNLOADING
49,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
49,velocity_saturation,,1.0
50,velocity_saturation,,1.0000000000000002
51,velocity_saturation,,1.0000000000000002
52,load_transition,left,UNLOADING->SUPPORT
53,load_transition,right,UNLOADING->LOADING
53,velocity_saturation,,0.9999993063375205
54,velocity_saturation,,1.0
56,load_transition,right,LOADING->SUPPORT
60,load_transition,right,SUPPORT->UNLOADING
64,velocity_saturation,,1.0
65,load_transition,left,SUPPORT->UNLOADING
67,velocity_saturation,,1.0000000000000002
71,liftoff,right,AIR
72,liftoff,left,AIR
78,velocity_saturation,,1.0000000000000002
79,touchdown,right,FLAT
79,load_transition,right,UNLOADING->LOADING
79,arm_branch_flip,left,1
79,arm_branch_flip,right,1
79,velocity_saturation,,1.0000000000000002
80,touchdown,left,FLAT
80,velocity_saturation,,1.0000000000000002
81,velocity_saturation,,0.999999999999999
83,load_transition,left,UNLOADING->LOADING
86,load_transition,left,LOADING->SUPPORT
87,load_transition,right,LOADING->UNLOADING
89,load_transition,left,SUPPORT->UNLOADING
89,arm_branch_flip,left,-1
93,velocity_saturation,,1.0000000000000002
94,velocity_saturation,,1.0
96,liftoff,left,AIR
96,liftoff,right,AIR
97,velocity_saturation,,1.0
103,arm_branch_flip,left,1
103,velocity_saturation,,1.0000000000000002
105,touchdown,left,FLAT
105,load_transition,left,UNLOADING->LOADING
