frame_idx,event,side,value
0,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
0,velocity_saturation,,1.0
1,velocity_saturation,,1.0
2,touchdown,left,FLAT
2,touchdown,right,FLAT
2,velocity_saturation,,0.9999999999999999
3,arm_branch_flip,right,-1
5,load_transition,left,UNLOADED->SUPPORT
5,load_transition,right,UNLOADED->SUPPORT
11,load_transition,right,SUPPORT->UNLOADING
22,velocity_saturation,,1.0
23,load_transition,right,UNLOADING->SUPPORT
24,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
25,load_transition,left,SUPPORT->UNLOADING
25,load_transition,right,SUPPORT->UNLOADING
28,load_transition,left,UNLOADING->SUPPORT
28,load_transition,right,UNLOADING->SUPPORT
29,load_transition,left,SUPPORT->UNLOADING
29,load_transition,right,SUPPORT->UNLOADING
32,load_transition,left,UNLOADING->SUPPORT
32,load_transition,right,UNLOADING->SUPPORT
32,velocity_saturation,,0.9999999999999999
33,load_transition,left,SUPPORT->UNLOADING
33,load_transition,right,SUPPORT->UNLOADING
35,velocity_saturation,,0.9999995463553183
36,load_transition,left,UNLOADING->SUPPORT
36,load_transition,right,UNLOADING->SUPPORT
37,load_transition,left,SUPPORT->UNLOADING
39,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
40,load_transition,left,UNLOADING->SUPPORT
42,load_transition,left,SUPPORT->UNLOADING
42,load_transition,right,SUPPORT->UNLOADING
43,velocity_saturation,,0.9999962374980715
45,load_transition,left,UNLOADING->SUPPORT
45,load_transition,right,UNLOADING->SUPPORT
46,load_transition,left,SUPPORT->UNLOADING
46,load_transition,right,SUPPORT->UNLOADING
49,load_transition,left,UNLOADING->SUPPORT
49,load_transition,right,UNLOADING->SUPPORT
49,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
51,load_transition,left,SUPPORT->UNLOADING
51,load_transition,right,SUPPORT->UNLOADING
54,load_transition,left,UNLOADING->SUPPORT
54,load_transition,right,UNLOADING->SUPPORT
54,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
54,velocity_saturation,,1.0000000000000002
55,velocity_saturation,,1.0
56,load_transition,left,SUPPORT->UNLOADING
56,load_transition,right,SUPPORT->UNLOADING
59,load_transition,left,UNLOADING->SUPPORT
59,load_transition,right,UNLOADING->SUPPORT
60,load_transition,left,SUPPORT->UNLOADING
60,load_transition,right,SUPPORT->UNLOADING
61,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
61,velocity_saturation,,0.999998202652038
63,load_transition,left,UNLOADING->SUPPORT
63,load_transition,right,UNLOADING->SUPPORT
65,load_transition,right,SUPPORT->UNLOADING
68,load_transition,right,UNLOADING->SUPPORT
69,load_transition,left,SUPPORT->UNLOADING
69,load_transition,right,SUPPORT->UNLOADING
72,load_transition,left,UNLOADING->SUPPORT
72,load_transition,right,UNLOADING->SUPPORT
73,load_transition,left,SUPPORT->UNLOADING
73,load_transition,right,SUPPORT->UNLOADING
76,load_transition,left,UNLOADING->SUPPORT
76,load_transition,right,UNLOADING->SUPPORT
77,load_transition,right,SUPPORT->UNLOADING
78,velocity_saturation,,1.0000000000000002
