frame_idx,event,side,value
1,arm_branch_flip,right,-1
1,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
2,touchdown,left,FLAT
2,touchdown,right,FLAT
3,arm_branch_flip,left,-1
5,load_transition,left,UNLOADED->UNLOADING
5,load_transition,right,UNLOADED->LOADING
7,liftoff,left,AIR
7,collision_constraint_activation,,v3_torso_proxy:v3_left_forearm_proxy
19,load_transition,right,LOADING->UNLOADING
20,load_transition,left,UNLOADING->UNLOADED
22,touchdown,left,FLAT
25,load_transition,left,UNLOADED->LOADING
27,liftoff,right,AIR
29,velocity_saturation,,1.0
31,velocity_saturation,,0.9999999999999999
32,velocity_saturation,,1.0000000000000002
33,velocity_saturation,,1.0000000000000002
34,velocity_saturation,,0.9999998479474302
36,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
36,velocity_saturation,,1.0
37,velocity_saturation,,1.0000000000000002
39,velocity_saturation,,1.0000000000000002
40,velocity_saturation,,1.0000000000000002
42,load_transition,left,LOADING->UNLOADING
42,touchdown,right,FLAT
45,load_transition,right,UNLOADING->LOADING
49,liftoff,left,AIR
52,collision_constraint_activation,,v3_torso_proxy:v3_left_forearm_proxy
56,velocity_saturation,,1.0
58,velocity_saturation,,0.9999998672530401
59,collision_constraint_activation,,v3_torso_proxy:v3_left_forearm_proxy
60,load_transition,right,LOADING->UNLOADING
60,velocity_saturation,,0.9999967884653914
62,load_transition,left,UNLOADING->UNLOADED
63,touchdown,left,FLAT
63,velocity_saturation,,0.99999999147976
66,load_transition,left,UNLOADED->LOADING
68,liftoff,right,AIR
74,collision_constraint_activation,,v3_torso_proxy:v3_right_forearm_proxy
78,velocity_saturation,,0.9999999999999999
79,velocity_saturation,,0.9999787849963445
83,touchdown,right,FLAT
84,load_transition,left,LOADING->UNLOADING
86,load_transition,right,UNLOADING->LOADING
87,collision_constraint_activation,,v3_torso_proxy:v3_left_forearm_proxy
91,collision_constraint_activation,,v3_torso_proxy:v3_left_forearm_proxy
92,liftoff,left,AIR
92,load_transition,right,LOADING->UNLOADING
99,velocity_saturation,,1.0000000000000002
100,velocity_saturation,,1.0000000000000002
101,load_transition,left,UNLOADING->UNLOADED
101,velocity_saturation,,1.0000000000000002
104,velocity_saturation,,1.0
105,touchdown,left,FLAT
105,load_transition,left,UNLOADED->LOADING
108,velocity_saturation,,1.0000000000000002
110,liftoff,right,AIR
124,touchdown,right,FLAT
125,load_transition,left,LOADING->UNLOADING
125,velocity_saturation,,1.0
126,velocity_saturation,,1.0
127,load_transition,right,UNLOADING->LOADING
133,liftoff,left,AIR
133,velocity_saturation,,1.0000000000000002
134,collision_constraint_activation,,v3_torso_proxy:v3_left_forearm_proxy
135,velocity_saturation,,0.9999837760135276
136,load_transition,right,LOADING->UNLOADING
140,velocity_saturation,,1.0000000000000002
142,load_transition,left,UNLOADING->UNLOADED
146,touchdown,left,FLAT
146,load_transition,left,UNLOADED->LOADING
146,velocity_saturation,,1.0000000000000002
150,liftoff,right,AIR
160,touchdown,right,FLAT
160,load_transition,right,UNLOADING->LOADING
160,velocity_saturation,,0.9999874304504552
166,load_transition,left,LOADING->UNLOADING
166,velocity_saturation,,0.9999939442693911
174,load_transition,right,LOADING->SUPPORT
175,liftoff,left,AIR
176,velocity_saturation,,1.0
179,velocity_saturation,,0.9999918544318073
183,load_transition,right,SUPPORT->LOADING
184,load_transition,right,LOADING->UNLOADING
185,velocity_saturation,,1.0000000000000002
186,load_transition,left,UNLOADING->UNLOADED
187,load_transition,right,UNLOADING->LOADING
187,collision_constraint_activation,,v3_torso_proxy:v3_right_forearm_proxy
187,velocity_saturation,,0.999985013664956
188,velocity_saturation,,1.0000000000000002
189,touchdown,left,FLAT
189,load_transition,left,UNLOADED->LOADING
189,load_transition,right,LOADING->UNLOADING
189,velocity_saturation,,0.9999646615255611
190,collision_constraint_activation,,v3_torso_proxy:v3_left_forearm_proxy
190,velocity_saturation,,1.0000000000000002
202,velocity_saturation,,1.0000000000000002
203,velocity_saturation,,1.0
204,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
204,velocity_saturation,,1.0
206,load_transition,right,UNLOADING->LOADING
206,velocity_saturation,,1.0000000000000002
207,velocity_saturation,,0.9999987911322195
210,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
215,load_transition,right,LOADING->SUPPORT
220,velocity_saturation,,1.0000000000000002
223,velocity_saturation,,1.0000000000000002
224,load_transition,right,SUPPORT->UNLOADING
231,load_transition,right,UNLOADING->SUPPORT
234,load_transition,right,SUPPORT->UNLOADING
237,load_transition,right,UNLOADING->SUPPORT
237,velocity_saturation,,0.9999801734187245
240,load_transition,right,SUPPORT->UNLOADING
242,velocity_saturation,,0.99920654296875
243,load_transition,right,UNLOADING->SUPPORT
244,load_transition,right,SUPPORT->UNLOADING
247,load_transition,right,UNLOADING->SUPPORT
247,velocity_saturation,,1.0000000000000002
248,load_transition,right,SUPPORT->UNLOADING
251,load_transition,right,UNLOADING->SUPPORT
251,velocity_saturation,,0.9999951139628313
252,velocity_saturation,,0.9999888519182586
269,velocity_saturation,,0.9999996643292897
280,velocity_saturation,,0.9999150680171308
282,load_transition,right,SUPPORT->UNLOADING
285,load_transition,right,UNLOADING->SUPPORT
289,load_transition,right,SUPPORT->UNLOADING
292,load_transition,right,UNLOADING->SUPPORT
294,load_transition,right,SUPPORT->UNLOADING
297,load_transition,right,UNLOADING->SUPPORT
298,load_transition,right,SUPPORT->UNLOADING
301,load_transition,right,UNLOADING->SUPPORT
301,velocity_saturation,,1.0000000000000002
302,load_transition,right,SUPPORT->UNLOADING
303,velocity_saturation,,1.0
305,load_transition,right,UNLOADING->SUPPORT
