frame_idx,event,side,value
0,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
2,touchdown,left,FLAT
2,touchdown,right,FLAT
3,arm_branch_flip,right,-1
5,load_transition,left,UNLOADED->LOADING
5,load_transition,right,UNLOADED->LOADING
13,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
21,velocity_saturation,,0.999973085176132
24,velocity_saturation,,1.0
25,velocity_saturation,,1.0
27,velocity_saturation,,1.0000000000000002
32,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
32,velocity_saturation,,0.9999999999999999
45,velocity_saturation,,0.9999978547439801
46,velocity_saturation,,0.9999999660547364
47,load_transition,left,LOADING->UNLOADING
47,velocity_saturation,,0.9999978080353902
48,velocity_saturation,,0.9999979796571786
51,velocity_saturation,,0.9999837435735937
53,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
56,liftoff,left,AIR
56,velocity_saturation,,0.9999663370865084
57,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
57,velocity_saturation,,0.9999943335277749
60,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
60,velocity_saturation,,0.9999994542805621
63,velocity_saturation,,1.0000000000000002
67,velocity_saturation,,1.0000000000000002
68,velocity_saturation,,0.999995893854497
74,touchdown,left,FLAT
74,load_transition,left,UNLOADING->LOADING
76,load_transition,right,LOADING->UNLOADING
76,velocity_saturation,,0.9999996188397455
80,velocity_saturation,,0.9999992298932343
81,velocity_saturation,,1.0
82,velocity_saturation,,1.0000000000000002
83,liftoff,right,AIR
83,velocity_saturation,,1.0
84,velocity_saturation,,0.99999272451868
85,velocity_saturation,,1.0
86,velocity_saturation,,1.0000000000000002
87,velocity_saturation,,1.0000000000000002
93,load_transition,left,LOADING->UNLOADING
98,touchdown,right,FLAT
98,load_transition,right,UNLOADING->LOADING
100,collision_constraint_activation,,v3_torso_proxy:v3_right_hand_proxy
101,liftoff,left,AIR
103,load_transition,right,LOADING->UNLOADING
109,load_transition,left,UNLOADING->UNLOADED
112,liftoff,right,AIR
114,touchdown,left,FLAT
114,load_transition,left,UNLOADED->LOADING
122,load_transition,left,LOADING->UNLOADING
126,touchdown,right,FLAT
126,load_transition,right,UNLOADING->LOADING
129,load_transition,right,LOADING->UNLOADING
132,liftoff,left,AIR
140,liftoff,right,AIR
141,load_transition,left,UNLOADING->UNLOADED
144,touchdown,left,FLAT
144,load_transition,left,UNLOADED->LOADING
149,load_transition,left,LOADING->UNLOADING
152,touchdown,right,FLAT
152,load_transition,right,UNLOADING->LOADING
158,liftoff,left,AIR
158,load_transition,right,LOADING->UNLOADING
166,load_transition,left,UNLOADING->UNLOADED
166,liftoff,right,AIR
170,load_transition,left,UNLOADED->UNLOADING
174,touchdown,left,FLAT
182,touchdown,right,FLAT
185,liftoff,left,AIR
193,liftoff,right,AIR
195,load_transition,left,UNLOADING->UNLOADED
