active_collision_pair,frame_idx,frame_root_angular_budget_usage,frame_root_z_budget_usage,frame_velocity_budget_usage_max,left_anchor_error_xy,left_contact_confidence,left_contact_phase,left_contact_slack,left_elbow_branch_sign,left_foot_vxy,left_heel_height,left_liftoff_probability,left_load_phase,left_lock_weight,left_swing_clearance_error,left_toe_height,max_joint_delta,max_joint_velocity_ratio,min_self_collision_distance,qp_resolve_count,qp_status,right_anchor_error_xy,right_contact_confidence,right_contact_phase,right_contact_slack,right_elbow_branch_sign,right_foot_vxy,right_heel_height,right_liftoff_probability,right_load_phase,right_lock_weight,right_swing_clearance_error,right_toe_height,root_ddz,root_dz,root_z,safety_backtracked,solver_mode,stage_a_high_priority_error,stage_a_iterations,stage_b_detail_error,stage_b_high_priority_error,stage_b_iterations,stage_b_rejected,stage_c_iterations,stage_c_triggered
v3_pelvis_proxy:v3_left_hand_proxy,0,0.9999654852728977,1.0000000000000009,1.0,0.0,0.04739123138147976,AIR,0.0,1,0.0,0.10256615372006478,0.11311358212752783,UNLOADED,0.008406127887697215,0.0,0.08623473650500636,0.1884955592153876,1.0,0.05248427798801242,0,ok,0.0,0.04261826013561731,AIR,0.0,1,0.0,0.093023742315334,0.10276468211040915,UNLOADED,0.007647721636136375,0.0,0.1020186482860054,0.0,-0.0050000000000000044,0.745,0,staged_v3,0.746510856410379,2,0.9710116007392596,0.7480248544855918,2,1,0,0
v3_pelvis_proxy:v3_left_hand_proxy,1,0.9998051805982308,1.0000000000000009,0.8557874450731826,0.0,0.060681098106158515,AIR,0.0,1,0.0687053676838166,0.11243680747776864,0.20019715633163843,UNLOADED,0.016431485274602656,0.0,0.08294412654360175,0.16131213302857736,0.8557874450731826,0.046309254453274384,0,ok,0.0,0.0331911343667596,AIR,0.0,1,0.7257115014815534,0.09632740415206134,0.172494180666822,UNLOADED,0.011611348676661701,0.0,0.12731662114870212,0.0,-0.0050000000000000044,0.74,0,staged_v3,0.6875412847687533,2,0.8490458590236659,0.6885718683011248,2,1,0,0
v3_pelvis_proxy:v3_left_hand_proxy,2,0.9993183880941527,1.0000000000000009,0.7592259711365592,0.0,0.06904507078614057,FLAT,0.0,1,0.07144501672733028,0.1204090829308975,0.2603533101264638,UNLOADED,0.0233589798314927,0.0,0.08250964279991752,0.14311072400023145,0.7592259711365592,0.04039891933028103,0,ok,0.0,0.025849281435860592,FLAT,0.0,-1,0.4718825170348799,0.09903632281034389,0.1858173133835988,UNLOADED,0.01349828642263985,0.0,0.15703517632884945,0.0,-0.0050000000000000044,0.735,0,staged_v3,0.6301477993363571,2,1.126970177884335,0.6316305706947463,2,1,0,0
v3_pelvis_proxy:v3_left_hand_proxy,3,0.9990126346414716,1.0000000000000009,0.5950850091407468,0.0,0.05666699185245126,FLAT,0.0,1,0.134634222851332,0.12158099435048639,0.32294266133857413,UNLOADED,0.02636054440390803,0.0,0.08254471102712282,0.1121708815786791,0.5950850091407468,0.040779876225886885,0,ok,0.0,0.02013144062408136,FLAT,0.0,-1,0.239279267378594,0.09815591333245391,0.16096910586499935,UNLOADED,0.014176809263521613,0.0,0.1663321778942225,0.0,-0.0050000000000000044,0.73,0,staged_v3,0.5769504094256106,2,1.089445452837872,0.5782576488980733,2,1,0,0
v3_pelvis_proxy:v3_left_hand_proxy,4,0.9986537134913225,1.0000000000000009,0.408458055456629,0.0,0.05389046495616564,FLAT,0.0,-1,0.11958523850066954,0.12075975104177539,0.3771368224504482,UNLOADED,0.027801712771570446,0.0,0.08315214687332247,0.07699252957932709,0.408458055456629,0.04915503453457465,0,ok,0.0,0.05796462858568609,FLAT,0.0,1,0.04846778558906151,0.09564436429291673,0.12994396079831064,UNLOADED,0.0214279424430291,0.0,0.1608841259415333,0.0,-0.0050000000000000044,0.725,0,staged_v3,0.528401576488867,2,0.8471446997203402,0.5296529700405624,2,1,0,0
v3_torso_proxy:v3_left_forearm_proxy,5,0.9999999999999999,1.0000000000000009,0.4387657177549687,0.0,0.0419699363079439,FLAT,0.0,-1,0.37211018727198103,0.12450589597641369,0.4262152313341492,LOADING,0.02727028383211382,0.0,0.08427814371702172,0.08270538933276375,0.4387657177549687,0.05972738249182494,0,ok,0.0,0.0747290863636216,FLAT,0.0,1,0.06932201288343877,0.09181003531665728,0.10502278085097194,LOADING,0.030518519935075605,0.0,0.147512928685181,0.0,-0.0050000000000000044,0.72,0,staged_v3,0.47780643296792985,2,0.8201542685667306,0.47905096182640555,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,6,1.0000000000000002,1.0000000000000009,0.5213432599472567,0.0,0.0326862192620837,FLAT,0.0,-1,0.3619781508924538,0.13261182365453456,0.5161998253382604,LOADING,0.025633614511530133,0.0,0.08181613662935544,0.09827088932693134,0.5213432599472567,0.05621919765936027,0,ok,0.0,0.10262871950807778,FLAT,0.0,1,0.0694074919012616,0.08561528617828665,0.11820129614616387,LOADING,0.04251439031614086,0.0,0.13372592385791132,0.0,-0.0050000000000000044,0.715,0,staged_v3,0.42784266619721634,2,0.8219777677840011,0.4253718274029612,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,7,1.0,1.0000000000000009,0.7214990603224096,0.0,0.02545605315695442,FLAT,0.0,-1,0.39815374027796196,0.14513851765878122,0.6101847096875322,LOADING,0.023389263688681227,0.0,0.07573799733231398,0.13599936884884928,0.7214990603224096,0.04988491181188018,0,ok,0.0,0.1357587175767959,FLAT,0.0,1,0.06756107472169007,0.07749643467600992,0.12982542695517882,LOADING,0.05763826907381285,0.0,0.12075002838072409,0.0,-0.0050000000000000044,0.71,0,staged_v3,0.370586726554503,2,0.8425853477757438,0.3629517003472501,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,8,0.9999999999999996,1.0000000000000009,0.8526318456856559,0.0,0.01982519413254341,FLAT,0.0,-1,0.44296067482379264,0.16443188307326792,0.7016190439167427,UNLOADING,0.020893006073127406,0.0,0.07129523125254263,0.16071731655736576,0.8526318456856559,0.046953226786588934,0,ok,0.0,0.17085798851231657,FLAT,0.0,1,0.06617569888241051,0.07018164800845528,0.13811287835884156,LOADING,0.075562675244706,0.0,0.11028116533344566,0.0,-0.0050000000000000044,0.705,0,staged_v3,0.31647587538407573,2,0.8707534500880176,0.2935825496613484,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,9,0.6487756731724019,1.0000000000000009,1.0000000000000002,0.0,0.01543987671496743,FLAT,0.0,-1,0.4199877772915952,0.19397397336889238,0.7862007024874034,UNLOADING,0.018379867319157937,0.0,0.07748737423309948,0.18849555921538763,1.0000000000000002,0.04618397463234718,0,ok,0.0,0.1952848755558078,FLAT,0.0,1,0.060624387792392896,0.06550171046025074,0.11591600136453195,LOADING,0.09497978692664646,0.0,0.10408087016763279,0.0,-0.0050000000000000044,0.7,0,staged_v3,0.2675368140943511,2,0.9153597902046715,0.2465355064217655,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,10,0.383597890263621,1.0000000000000009,0.7467033785596109,0.0,0.012024588076142585,FLAT,0.0,-1,0.9743501012879806,0.20610627536696244,0.8468061091535437,UNLOADING,0.016017328192593973,0.0,0.07971427499523204,0.14075027090961312,0.7467033785596109,0.0451397240142911,0,ok,0.0,0.20643577754456544,FLAT,0.0,1,0.056082711147348516,0.06293376827695338,0.10060403227227029,LOADING,0.11311733072498133,0.0,0.10147713667565773,0.0,-0.0050000000000000044,0.695,0,staged_v3,0.22025823498810812,2,0.961843422348764,0.20485491094243846,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,11,0.1707113490804676,1.0000000000000009,0.5946500035537905,0.0,0.009364758609810923,FLAT,0.0,-1,1.205744056119774,0.21312240604175825,0.8878500791933213,UNLOADING,0.01387917515600397,0.0,0.08221753380644371,0.11208888495730396,0.5946500035537905,0.04468135532926093,0,ok,0.0,0.21141986000669655,FLAT,0.0,-1,0.05743701575244778,0.06082602982584881,0.088703607050573,LOADING,0.12902709574438015,0.0,0.09911191874512834,0.0,-0.0050000000000000044,0.69,0,staged_v3,0.18765172217839585,2,0.9978333408477593,0.18023764389617405,2,0,0,0
