frame_idx,event,side,value
0,velocity_saturation,,1.0
1,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
2,touchdown,left,FLAT
2,touchdown,right,FLAT
2,arm_branch_flip,right,-1
4,arm_branch_flip,left,-1
4,arm_branch_flip,right,1
5,load_transition,left,UNLOADED->LOADING
5,load_transition,right,UNLOADED->LOADING
7,collision_constraint_activation,,v3_torso_proxy:v3_left_forearm_proxy
8,load_transition,left,LOADING->UNLOADING
9,velocity_saturation,,1.0000000000000002
11,arm_branch_flip,right,-1
12,liftoff,left,AIR
22,velocity_saturation,,0.9999999999999999
25,velocity_saturation,,1.0
26,velocity_saturation,,1.0
27,velocity_saturation,,1.0000000000000002
29,load_transition,left,UNLOADING->UNLOADED
29,velocity_saturation,,1.0000000000000002
30,touchdown,left,FLAT
30,velocity_saturation,,1.0000000000000002
33,load_transition,left,UNLOADED->LOADING
33,velocity_saturation,,0.9999949832646723
34,velocity_saturation,,1.0000000000000002
35,velocity_saturation,,0.9999999999999999
36,load_transition,right,LOADING->UNLOADING
43,liftoff,right,AIR
43,velocity_saturation,,1.0
46,velocity_saturation,,1.0000000000000002
47,velocity_saturation,,1.0
62,touchdown,right,FLAT
62,load_transition,right,UNLOADING->LOADING
63,velocity_saturation,,0.9999869159358054
65,load_transition,left,LOADING->UNLOADING
66,velocity_saturation,,0.999999614489683
68,velocity_saturation,,1.0
69,collision_constraint_activation,,v3_torso_proxy:v3_left_forearm_proxy
69,velocity_saturation,,1.0000000000000002
74,liftoff,left,AIR
76,velocity_saturation,,1.0
89,touchdown,left,FLAT
89,load_transition,left,UNLOADING->LOADING
89,velocity_saturation,,1.0000000000000002
90,velocity_saturation,,0.9999999999999999
94,load_transition,right,LOADING->UNLOADING
102,liftoff,right,AIR
112,velocity_saturation,,1.0
113,velocity_saturation,,1.0
114,load_transition,left,LOADING->UNLOADING
114,velocity_saturation,,1.0
115,load_transition,right,UNLOADING->UNLOADED
116,velocity_saturation,,0.9999999999999999
117,load_transition,left,UNLOADING->LOADING
117,velocity_saturation,,1.0000000000000002
118,touchdown,right,FLAT
118,load_transition,right,UNLOADED->LOADING
119,velocity_saturation,,1.0
120,load_transition,left,LOADING->UNLOADING
120,velocity_saturation,,0.9999955556997939
121,collision_constraint_activation,,v3_torso_proxy:v3_left_forearm_proxy
121,velocity_saturation,,0.9999691089869905
124,velocity_saturation,,1.0
125,velocity_saturation,,1.0
126,velocity_saturation,,1.0000000000000002
127,velocity_saturation,,1.0000000000000002
128,velocity_saturation,,1.0000000000000002
129,velocity_saturation,,1.0000000000000002
130,velocity_saturation,,1.0
131,liftoff,left,AIR
132,velocity_saturation,,0.9999826909990742
133,velocity_saturation,,1.0000000000000002
135,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
135,velocity_saturation,,0.9999927411481865
142,touchdown,left,FLAT
142,load_transition,left,UNLOADING->LOADING
145,velocity_saturation,,1.0000000000000002
148,velocity_saturation,,0.9999720761771114
150,load_transition,right,LOADING->UNLOADING
158,liftoff,right,AIR
167,velocity_saturation,,1.0
175,touchdown,right,FLAT
175,load_transition,right,UNLOADING->LOADING
175,velocity_saturation,,1.0
177,velocity_saturation,,0.9999962218121987
180,collision_constraint_activation,,v3_torso_proxy:v3_left_forearm_proxy
180,velocity_saturation,,0.9999998043700646
181,load_transition,left,LOADING->UNLOADING
182,collision_constraint_activation,,v3_torso_proxy:v3_left_forearm_proxy
184,velocity_saturation,,0.9999995574624821
186,velocity_saturation,,1.0
188,velocity_saturation,,1.0000000000000002
189,liftoff,left,AIR
194,touchdown,left,FLAT
198,liftoff,left,AIR
204,touchdown,left,FLAT
204,load_transition,left,UNLOADING->LOADING
208,load_transition,right,LOADING->UNLOADING
215,liftoff,right,AIR
225,load_transition,left,LOADING->UNLOADING
226,load_transition,right,UNLOADING->UNLOADED
231,touchdown,right,FLAT
231,load_transition,right,UNLOADED->LOADING
232,velocity_saturation,,1.0
238,velocity_saturation,,1.0
239,velocity_saturation,,0.9999850823848139
240,velocity_saturation,,0.9991175718165753
247,liftoff,left,AIR
248,collision_constraint_activation,,v3_torso_proxy:v3_left_forearm_proxy
249,velocity_saturation,,1.0
250,velocity_saturation,,1.0
262,touchdown,left,FLAT
262,load_transition,left,UNLOADING->LOADING
267,load_transition,right,LOADING->UNLOADING
275,liftoff,right,AIR
287,velocity_saturation,,0.9999999999999996
293,touchdown,right,FLAT
293,load_transition,right,UNLOADING->LOADING
294,velocity_saturation,,0.9999992274641634
297,load_transition,left,LOADING->UNLOADING
297,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
297,velocity_saturation,,0.9999845463948632
298,qp_infeasible,,Stage B: NoSolutionFound: QP solver proxqp failed to find a solution.
302,velocity_saturation,,0.9999871334834673
303,velocity_saturation,,0.9999999234463796
304,velocity_saturation,,0.9999999760199907
306,liftoff,left,AIR
306,velocity_saturation,,1.0000000000000002
310,velocity_saturation,,1.0
312,velocity_saturation,,0.999989610214282
313,velocity_saturation,,0.9999689231147185
321,touchdown,left,FLAT
321,load_transition,left,UNLOADING->LOADING
329,load_transition,right,LOADING->UNLOADING
338,liftoff,right,AIR
338,arm_branch_flip,right,1
340,arm_branch_flip,right,-1
348,load_transition,right,UNLOADING->UNLOADED
350,touchdown,right,FLAT
353,load_transition,right,UNLOADED->LOADING
366,collision_constraint_activation,,v3_torso_proxy:v3_left_forearm_proxy
374,velocity_saturation,,1.0000000000000002
376,velocity_saturation,,0.9999999999999999
386,collision_constraint_activation,,v3_torso_proxy:v3_left_forearm_proxy
386,velocity_saturation,,1.0000000000000002
389,velocity_saturation,,0.9999987485124018
392,velocity_saturation,,0.9999977259408831
414,velocity_saturation,,0.9999830261627294
