active_collision_pair,frame_idx,frame_root_angular_budget_usage,frame_root_z_budget_usage,frame_velocity_budget_usage_max,left_anchor_error_xy,left_contact_confidence,left_contact_phase,left_contact_slack,left_elbow_branch_sign,left_foot_vxy,left_heel_height,left_liftoff_probability,left_load_phase,left_lock_weight,left_swing_clearance_error,left_toe_height,max_joint_delta,max_joint_velocity_ratio,min_self_collision_distance,qp_resolve_count,qp_status,right_anchor_error_xy,right_contact_confidence,right_contact_phase,right_contact_slack,right_elbow_branch_sign,right_foot_vxy,right_heel_height,right_liftoff_probability,right_load_phase,right_lock_weight,right_swing_clearance_error,right_toe_height,root_ddz,root_dz,root_z,safety_backtracked,solver_mode,stage_a_high_priority_error,stage_a_iterations,stage_b_detail_error,stage_b_high_priority_error,stage_b_iterations,stage_b_rejected,stage_c_iterations,stage_c_triggered
v3_pelvis_proxy:v3_left_hand_proxy,0,1.0,1.0000000000000009,1.0,0.0,0.21708777854518804,AIR,0.0,-1,0.0,0.0859934075653297,0.0028793680707688975,UNLOADED,0.04329254058541818,0.0,0.12076261780577785,0.1884955592153876,1.0,0.04404956455776367,0,ok,0.0,0.21325444172105987,AIR,0.0,1,0.0,0.10888856723627544,0.004417975963237414,UNLOADED,0.04246245774469652,0.0,0.08711099574408843,0.0,-0.0050000000000000044,0.745,0,staged_v3,0.675175267313494,2,1.1447702804307411,0.671534061619891,2,0,0,0
v3_pelvis_proxy:v3_right_hand_proxy,1,1.0000000000000002,1.0000000000000009,1.0,0.0,0.3665748804308484,AIR,0.0,-1,0.010942388924616247,0.08583471429156574,0.005249143498929059,UNLOADED,0.10756416772440737,0.0,0.12683955572893157,0.1884955592153876,1.0,0.04287157916269088,0,ok,0.0,0.3707534646315535,AIR,0.0,1,0.004934392838887622,0.10192936237281441,0.00942819240269901,UNLOADED,0.10742155212236522,0.0,0.09335329161171912,0.0,-0.0050000000000000044,0.74,0,staged_v3,0.5912084483122921,2,1.1301666767096605,0.5903516169762779,2,0,0,0
v3_pelvis_proxy:v3_right_hand_proxy,2,1.0000000000000002,1.0000000000000009,0.9999999999999999,0.0,0.47646691856823137,FLAT,0.0,-1,0.01444868029860522,0.08469886119015625,0.007412481145444924,UNLOADED,0.18063835748310914,0.0,0.11784869169940643,0.18849555921538758,0.9999999999999999,0.04660313324265519,0,ok,0.0,0.4840654872372959,FLAT,0.0,1,0.010085014875774312,0.0860261786059562,0.014684850352846304,UNLOADED,0.1813286532971399,0.0,0.0971232497844713,0.0,-0.0050000000000000044,0.735,0,staged_v3,0.5143784567584585,2,1.0671651983289576,0.5150625209223252,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,3,1.0000000000000002,1.0000000000000009,0.8772059531719516,0.0,0.5644430370056612,FLAT,0.0,-1,0.015252567100543095,0.08111654697945028,0.009172084424161911,UNLOADED,0.2563638695500103,0.0,0.10747804079143515,0.16534942669021413,0.8772059531719516,0.05162139219460268,0,ok,0.0,0.57295767298189,FLAT,0.0,-1,0.00909128099778223,0.07278870500109091,0.01963249897417805,UNLOADED,0.25740473904867706,0.0,0.09685471642226914,0.0,-0.0050000000000000044,0.73,0,staged_v3,0.4425205912938617,2,0.990003987289577,0.44450550456593235,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,4,0.9999999999999999,1.0000000000000009,0.42982136985903263,0.0,0.6341603415509425,FLAT,0.0,-1,0.01562812115605679,0.07527715967250881,0.01029318226865815,UNLOADED,0.33061765835356904,0.0,0.09912521653127,0.0810194194743023,0.42982136985903263,0.0538727760301059,0,ok,0.0,0.6375852352437539,FLAT,0.0,-1,0.008545884522085878,0.06523348595552644,0.024391145951979054,UNLOADED,0.330330551381761,0.0,0.09514036568526471,0.0,-0.0050000000000000044,0.725,0,staged_v3,0.37429879457675763,2,0.9195047686180093,0.37474195924554504,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,5,1.0,1.0000000000000009,0.5913888171746364,0.026149613256507002,0.6854264775041607,FLAT,0.0,-1,0.014647780480516643,0.06923359061957624,0.011112262026546011,SUPPORT,0.40005609446009566,0.0,0.09320887620036677,0.11147416580705971,0.5913888171746364,0.05605095586373336,0,ok,0.011657349779089832,0.6901877985525515,FLAT,0.0,-1,0.012266326619682685,0.05923079067389906,0.029531444505477313,SUPPORT,0.3982255522816567,0.0,0.0919683614887303,0.0,-0.0050000000000000044,0.72,0,staged_v3,0.30645867260643184,2,0.8571007014072295,0.30350918041099867,2,0,0,0
v3_pelvis_proxy:v3_left_hand_proxy,6,1.0000000000000002,1.0000000000000009,0.7278026738388192,0.053448556480446066,0.7267712187555083,FLAT,0.0,-1,0.014217685639170584,0.06325469998346253,0.04069392714170818,SUPPORT,0.42611578393222915,0.0,0.08890284048492693,0.13718757200370257,0.7278026738388192,0.05588297428579428,0,ok,0.017769822882932967,0.7272965744388362,FLAT,0.0,-1,0.014477183954044497,0.05366475779558273,0.06308081617674852,SUPPORT,0.44765376670672047,0.0,0.08730353908198998,0.0,-0.0050000000000000044,0.715,0,staged_v3,0.24808635478409596,2,0.800388784239702,0.2294579434111767,2,0,0,0
v3_pelvis_proxy:v3_left_hand_proxy,7,0.5977793879093413,1.0000000000000009,0.7132476771174844,0.0709416258224311,0.7608675843597676,FLAT,0.0,-1,0.014558489450039892,0.05749377453516395,0.06291138641960284,SUPPORT,0.4308926271457833,0.0,0.08534520307140864,0.13444401975733644,0.7132476771174844,0.055456317795455595,0,ok,0.0315618025894685,0.7467677013519985,FLAT,0.0,-1,0.01994692034776393,0.04977587924414813,0.08837773651138706,SUPPORT,0.4781216099169189,0.0,0.08241280547011881,0.0,-0.0050000000000000044,0.71,0,staged_v3,0.1977192315094381,2,0.870605194978104,0.18079309384819842,2,0,0,0
v3_pelvis_proxy:v3_left_hand_proxy,8,0.4216712177167202,1.0000000000000009,0.5309073578095267,0.08878241369920312,0.7813773794557697,FLAT,0.0,-1,0.01440115243865305,0.052561639298469104,0.07857460220624399,SUPPORT,0.43471410171662667,0.0,0.08210098059948895,0.10007367930187061,0.5309073578095267,0.05628339981527811,0,ok,0.05231666535339467,0.755084941043312,FLAT,0.0,-1,0.027150816457512692,0.04699618951758687,0.10849560672398348,SUPPORT,0.47437989197517066,0.0,0.07837541474536278,0.0,-0.0050000000000000044,0.705,0,staged_v3,0.15711994746960892,2,0.9342104708529617,0.14488330146357617,2,0,0,0
v3_pelvis_proxy:v3_left_hand_proxy,9,0.27445732343382645,1.0000000000000009,0.40304669026912443,0.10952905014930583,0.793622939543648,FLAT,0.0,-1,0.014267803807768964,0.04562569273381539,0.09034045439674074,UNLOADING,0.37261208718568,0.0,0.07647582802874933,0.07597251127218974,0.40304669026912443,0.05662121784836667,0,ok,0.07380360218438402,0.7519855424965758,FLAT,0.0,-1,0.031002072322903584,0.045731242976877855,0.12476521664875995,SUPPORT,0.470897050264432,0.0,0.07629518707830474,0.0,-0.0050000000000000044,0.7,0,staged_v3,0.12947649497227887,2,0.9819516357738195,0.12255426047999911,2,0,0,0
