frame_idx,event,side,value
0,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
0,velocity_saturation,,1.0
1,arm_branch_flip,right,-1
1,velocity_saturation,,1.0
2,touchdown,right,FLAT
2,velocity_saturation,,0.9999999999999999
3,load_transition,left,UNLOADED->UNLOADING
3,velocity_saturation,,1.0000000000000002
4,velocity_saturation,,1.0000000000000002
5,load_transition,right,UNLOADED->UNLOADING
6,arm_branch_flip,left,-1
8,velocity_saturation,,1.0000000000000002
11,liftoff,right,AIR
14,touchdown,left,FLAT
14,load_transition,left,UNLOADING->LOADING
18,load_transition,left,LOADING->UNLOADING
18,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
21,touchdown,right,FLAT
26,liftoff,right,AIR
28,liftoff,left,AIR
32,touchdown,right,FLAT
32,load_transition,right,UNLOADING->LOADING
32,velocity_saturation,,0.9999999999999999
38,load_transition,right,LOADING->UNLOADING
48,liftoff,right,AIR
51,touchdown,left,FLAT
51,load_transition,left,UNLOADING->LOADING
55,load_transition,left,LOADING->UNLOADING
60,touchdown,right,FLAT
63,liftoff,right,AIR
65,liftoff,left,AIR
69,touchdown,right,FLAT
69,load_transition,right,UNLOADING->LOADING
75,load_transition,right,LOADING->UNLOADING
85,liftoff,right,AIR
88,touchdown,left,FLAT
88,load_transition,left,UNLOADING->LOADING
91,load_transition,left,LOADING->UNLOADING
95,touchdown,right,FLAT
98,liftoff,left,AIR
99,liftoff,right,AIR
106,touchdown,right,FLAT
106,load_transition,right,UNLOADING->LOADING
112,load_transition,right,LOADING->UNLOADING
124,liftoff,right,AIR
126,touchdown,left,FLAT
126,load_transition,left,UNLOADING->LOADING
132,load_transition,left,LOADING->UNLOADING
134,touchdown,right,FLAT
138,liftoff,right,AIR
142,liftoff,left,AIR
145,touchdown,right,FLAT
145,load_transition,right,UNLOADING->LOADING
149,load_transition,right,LOADING->UNLOADING
151,load_transition,left,UNLOADING->UNLOADED
155,load_transition,right,UNLOADING->LOADING
159,touchdown,left,FLAT
159,load_transition,left,UNLOADED->LOADING
165,load_transition,right,LOADING->SUPPORT
167,load_transition,left,LOADING->SUPPORT
168,load_transition,right,SUPPORT->LOADING
180,load_transition,left,SUPPORT->UNLOADING
180,collision_constraint_activation,,v3_torso_proxy:v3_right_forearm_proxy
186,load_transition,right,LOADING->SUPPORT
198,load_transition,left,UNLOADING->SUPPORT
201,load_transition,right,SUPPORT->UNLOADING
203,velocity_saturation,,1.0000000000000002
206,load_transition,right,UNLOADING->SUPPORT
207,load_transition,left,SUPPORT->UNLOADING
207,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
215,velocity_saturation,,1.0
216,load_transition,left,UNLOADING->SUPPORT
217,load_transition,left,SUPPORT->UNLOADING
217,load_transition,right,SUPPORT->UNLOADING
220,load_transition,left,UNLOADING->SUPPORT
220,load_transition,right,UNLOADING->SUPPORT
221,load_transition,left,SUPPORT->UNLOADING
221,load_transition,right,SUPPORT->UNLOADING
