frame_idx,event,side,value
0,velocity_saturation,,1.0
1,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
2,touchdown,left,FLAT
2,touchdown,right,FLAT
4,velocity_saturation,,1.0
5,load_transition,left,UNLOADED->UNLOADING
5,load_transition,right,UNLOADED->LOADING
11,load_transition,right,LOADING->UNLOADING
13,collision_constraint_activation,,v3_torso_proxy:v3_left_forearm_proxy
16,load_transition,left,UNLOADING->LOADING
19,liftoff,right,AIR
22,velocity_saturation,,1.0000000000000002
25,load_transition,left,LOADING->SUPPORT
30,load_transition,left,SUPPORT->LOADING
31,touchdown,right,FLAT
33,load_transition,left,LOADING->UNLOADING
36,load_transition,right,UNLOADING->LOADING
38,velocity_saturation,,1.0000000000000002
39,liftoff,left,AIR
43,load_transition,right,LOADING->UNLOADING
44,touchdown,left,FLAT
49,liftoff,left,AIR
51,liftoff,right,AIR
52,touchdown,left,FLAT
52,load_transition,left,UNLOADING->LOADING
59,load_transition,left,LOADING->SUPPORT
62,load_transition,left,SUPPORT->LOADING
64,touchdown,right,FLAT
64,load_transition,right,UNLOADING->LOADING
65,load_transition,left,LOADING->UNLOADING
76,load_transition,right,LOADING->SUPPORT
80,load_transition,right,SUPPORT->LOADING
81,liftoff,left,AIR
83,load_transition,right,LOADING->UNLOADING
88,load_transition,left,UNLOADING->UNLOADED
90,touchdown,left,FLAT
92,liftoff,right,AIR
93,load_transition,left,UNLOADED->LOADING
107,touchdown,right,FLAT
110,liftoff,right,AIR
114,load_transition,left,LOADING->UNLOADING
116,load_transition,right,UNLOADING->UNLOADED
117,touchdown,right,FLAT
120,load_transition,right,UNLOADED->LOADING
122,liftoff,left,AIR
131,touchdown,left,FLAT
131,load_transition,right,LOADING->SUPPORT
134,load_transition,right,SUPPORT->LOADING
136,liftoff,left,AIR
137,load_transition,right,LOADING->UNLOADING
142,touchdown,left,FLAT
142,load_transition,left,UNLOADING->LOADING
146,liftoff,right,AIR
155,touchdown,right,FLAT
158,load_transition,left,LOADING->SUPPORT
161,liftoff,right,AIR
162,load_transition,left,SUPPORT->LOADING
165,load_transition,left,LOADING->UNLOADING
168,touchdown,right,FLAT
168,load_transition,right,UNLOADING->LOADING
171,liftoff,left,AIR
181,load_transition,right,LOADING->SUPPORT
184,touchdown,left,FLAT
185,load_transition,right,SUPPORT->LOADING
191,liftoff,left,AIR
192,load_transition,right,LOADING->UNLOADING
198,touchdown,left,FLAT
198,load_transition,left,UNLOADING->LOADING
199,liftoff,right,AIR
204,load_transition,left,LOADING->SUPPORT
215,touchdown,right,FLAT
215,load_transition,right,UNLOADING->LOADING
216,load_transition,left,SUPPORT->UNLOADING
223,load_transition,right,LOADING->SUPPORT
234,load_transition,left,UNLOADING->SUPPORT
235,load_transition,right,SUPPORT->UNLOADING
