frame_idx,event,side,value
0,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
0,velocity_saturation,,1.0
1,velocity_saturation,,1.0
2,touchdown,left,FLAT
2,touchdown,right,FLAT
2,arm_branch_flip,right,-1
2,velocity_saturation,,0.9999999999999999
5,load_transition,left,UNLOADED->LOADING
5,load_transition,right,UNLOADED->LOADING
8,load_transition,left,LOADING->UNLOADING
9,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
10,liftoff,left,AIR
13,load_transition,left,UNLOADING->UNLOADED
16,touchdown,left,FLAT
16,load_transition,left,UNLOADED->LOADING
29,velocity_saturation,,1.0
36,velocity_saturation,,0.999991359562706
37,velocity_saturation,,1.0
44,velocity_saturation,,0.9999984476813235
52,velocity_saturation,,0.9999999999999999
67,velocity_saturation,,1.0
74,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
76,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
78,load_transition,right,LOADING->UNLOADING
78,velocity_saturation,,0.9999894945543532
79,load_transition,left,LOADING->UNLOADING
81,liftoff,left,AIR
81,liftoff,right,AIR
87,load_transition,left,UNLOADING->UNLOADED
90,velocity_saturation,,0.9999800677268097
94,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
99,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
99,velocity_saturation,,0.9994114484249175
108,touchdown,left,FLAT
108,load_transition,left,UNLOADED->LOADING
112,load_transition,left,LOADING->UNLOADING
113,load_transition,right,UNLOADING->UNLOADED
114,velocity_saturation,,1.0
118,velocity_saturation,,1.0000000000000002
119,liftoff,left,AIR
120,touchdown,right,FLAT
120,load_transition,right,UNLOADED->LOADING
120,velocity_saturation,,1.0000000000000002
123,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
123,velocity_saturation,,0.9999478723087024
128,load_transition,right,LOADING->UNLOADING
132,load_transition,left,UNLOADING->UNLOADED
133,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
138,load_transition,left,UNLOADED->UNLOADING
139,liftoff,right,AIR
141,load_transition,left,UNLOADING->UNLOADED
143,touchdown,left,FLAT
146,load_transition,left,UNLOADED->LOADING
146,collision_constraint_activation,,v3_torso_proxy:v3_left_forearm_proxy
150,load_transition,left,LOADING->UNLOADING
158,liftoff,left,AIR
161,touchdown,right,FLAT
161,load_transition,right,UNLOADING->LOADING
164,load_transition,right,LOADING->UNLOADING
168,load_transition,left,UNLOADING->UNLOADED
175,load_transition,left,UNLOADED->UNLOADING
176,liftoff,right,AIR
178,load_transition,left,UNLOADING->UNLOADED
180,touchdown,left,FLAT
183,load_transition,left,UNLOADED->LOADING
186,load_transition,left,LOADING->UNLOADING
189,load_transition,right,UNLOADING->UNLOADED
192,load_transition,right,UNLOADED->UNLOADING
194,liftoff,left,AIR
196,touchdown,right,FLAT
196,load_transition,right,UNLOADING->LOADING
199,load_transition,right,LOADING->UNLOADING
210,liftoff,right,AIR
214,touchdown,left,FLAT
214,load_transition,left,UNLOADING->LOADING
222,load_transition,left,LOADING->UNLOADING
230,liftoff,left,AIR
232,load_transition,right,UNLOADING->UNLOADED
233,touchdown,right,FLAT
236,load_transition,right,UNLOADED->UNLOADING
248,liftoff,right,AIR
250,load_transition,left,UNLOADING->UNLOADED
251,touchdown,left,FLAT
254,load_transition,left,UNLOADED->LOADING
259,load_transition,left,LOADING->UNLOADING
268,liftoff,left,AIR
270,touchdown,right,FLAT
270,load_transition,right,UNLOADING->LOADING
273,load_transition,right,LOADING->UNLOADING
285,liftoff,right,AIR
290,touchdown,left,FLAT
290,load_transition,left,UNLOADING->LOADING
301,load_transition,left,LOADING->UNLOADING
309,liftoff,left,AIR
311,touchdown,right,FLAT
311,load_transition,right,UNLOADING->LOADING
