active_collision_pair,frame_idx,frame_root_angular_budget_usage,frame_root_z_budget_usage,frame_velocity_budget_usage_max,left_anchor_error_xy,left_contact_confidence,left_contact_phase,left_contact_slack,left_elbow_branch_sign,left_foot_vxy,left_heel_height,left_liftoff_probability,left_load_phase,left_lock_weight,left_swing_clearance_error,left_toe_height,max_joint_delta,max_joint_velocity_ratio,min_self_collision_distance,qp_resolve_count,qp_status,right_anchor_error_xy,right_contact_confidence,right_contact_phase,right_contact_slack,right_elbow_branch_sign,right_foot_vxy,right_heel_height,right_liftoff_probability,right_load_phase,right_lock_weight,right_swing_clearance_error,right_toe_height,root_ddz,root_dz,root_z,safety_backtracked,solver_mode,stage_a_high_priority_error,stage_a_iterations,stage_b_detail_error,stage_b_high_priority_error,stage_b_iterations,stage_b_rejected,stage_c_iterations,stage_c_triggered
v3_pelvis_proxy:v3_left_hand_proxy,0,1.0,1.0000000000000009,1.0,0.0,0.2174775521638815,AIR,0.0,-1,0.0,0.08682373500072055,0.0007146065568130124,UNLOADED,0.043464428255829114,0.0,0.11869087604223469,0.1884955592153876,1.0,0.043972544922027276,0,ok,0.0,0.20101238657565224,AIR,0.0,1,0.0,0.10839892776976727,0.0014755142877513382,UNLOADED,0.04014315798544897,0.0,0.08811067670365663,0.0,-0.0050000000000000044,0.745,0,staged_v3,0.6165342642403973,2,1.1390642715536978,0.602611277320158,2,0,0,0
v3_pelvis_proxy:v3_right_hand_proxy,1,1.0000000000000002,1.0000000000000009,1.0,0.0,0.3798242801204921,AIR,0.0,-1,0.0018433468472801998,0.08753319981880452,0.0022014014992353496,UNLOADED,0.11056916948082107,0.0,0.12610078153242216,0.1884955592153876,1.0,0.0478467099342955,0,ok,0.0,0.35130202372944375,AIR,0.0,1,0.002801107481503147,0.09947103843003938,0.0025215767655692545,UNLOADED,0.1021977641301012,0.0,0.09610820384634229,0.0,-0.0050000000000000044,0.74,0,staged_v3,0.5193671524104355,2,1.1050375706260236,0.5151005153074422,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,2,1.0000000000000002,1.0000000000000009,0.9999999999999999,0.0,0.5066260290951797,FLAT,0.0,-1,0.004303721484696519,0.08807699328115015,0.0032414524056823893,UNLOADED,0.18945210057153444,0.0,0.11901310386608456,0.18849555921538758,0.9999999999999999,0.049796417819443106,0,ok,0.0,0.46856168301761664,FLAT,0.0,-1,0.00430372148469369,0.08065298655893327,0.0032326858609289973,UNLOADED,0.17516760536207146,0.0,0.10023480363053204,0.0,-0.0050000000000000044,0.735,0,staged_v3,0.4374917854193569,2,1.0232465862574127,0.4361177019107593,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,3,1.0,1.0000000000000009,0.7731901301162571,0.0,0.6011123175152132,FLAT,0.0,-1,0.0011066021117833455,0.08600313346891875,0.003979092154313749,UNLOADED,0.27130576769897297,0.0,0.10916269688715455,0.1457429059560822,0.7731901301162571,0.05066031514276588,0,ok,0.0,0.5523771403137419,FLAT,0.0,-1,0.007351385619166605,0.06536667583037202,0.0037130766494083258,UNLOADED,0.2501993086201324,0.0,0.09841780650934387,0.0,-0.0050000000000000044,0.73,0,staged_v3,0.3614587121904716,2,0.9315332687317346,0.36162122340348724,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,4,0.999999999999999,1.0000000000000009,0.4985899241473138,0.025056441117337586,0.6816360127018937,FLAT,0.0,-1,0.0030382265715716626,0.08088914442152943,0.004469768206628245,UNLOADED,0.35276246570394354,0.0,0.10066673728402756,0.0939819865713056,0.4985899241473138,0.05304307454348721,0,ok,0.0,0.6104729443630373,FLAT,0.0,-1,0.009812647491685447,0.05650175170915858,0.004064139786295245,UNLOADED,0.32175782629238486,0.0,0.09487843764038822,0.0,-0.0050000000000000044,0.725,0,staged_v3,0.2888384203599703,2,0.8508963509537415,0.2896535301465761,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,5,0.9999999999999997,1.0000000000000009,0.5950887425331883,0.04840033935012332,0.7440007846117795,FLAT,0.0,-1,0.0031042875795568438,0.07474283377330485,0.00494436905037688,SUPPORT,0.39739242885290815,0.0,0.09395001365451415,0.11217158530657514,0.5950887425331883,0.055868599043764594,0,ok,0.014233324585174064,0.6730309558118495,FLAT,0.0,-1,0.0031042875795560198,0.05013972475341241,0.00431568963746816,SUPPORT,0.3914315336519393,0.0,0.09093449362324896,0.0,-0.0050000000000000044,0.72,0,staged_v3,0.21782724882023924,2,0.8214098975254517,0.2188200917155458,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,6,0.999999999999999,1.0000000000000009,0.7336979173267805,0.07399996134304711,0.7898778442446904,FLAT,0.0,-1,0.0046862309093341475,0.06795876176789556,0.03360713670771752,SUPPORT,0.40791394308232654,0.0,0.0883841146978628,0.1382987992216767,0.7336979173267805,0.058581455101229224,0,ok,0.021627005413490302,0.7129442465372112,FLAT,0.0,-1,0.009854746325816701,0.0452604932851957,0.03198130060986478,SUPPORT,0.4404299413905829,0.0,0.08664562001311574,0.0,-0.0050000000000000044,0.715,0,staged_v3,0.1637193931840626,2,0.8468291815805159,0.14932992719730076,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,7,0.5629165972522341,1.0000000000000009,0.7087211086685387,0.08973740679268663,0.825370216439115,FLAT,0.0,-1,0.0034925623949927697,0.06133783687417396,0.05410511179045144,SUPPORT,0.4163311544658612,0.0,0.08374066449834584,0.13359078170622568,0.7087211086685387,0.06084876237921276,0,ok,0.0312576458203709,0.7500601791162627,FLAT,0.0,-1,0.0034925595089984017,0.041971098252035356,0.05234556447238196,SUPPORT,0.47024659577950145,0.0,0.08242213100421208,0.0,-0.0050000000000000044,0.71,0,staged_v3,0.12966421863757946,2,0.8978460759208629,0.12218448148318187,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,8,0.42160859011752905,1.0000000000000009,0.632574946627099,0.10815469647199119,0.8399858122584627,FLAT,0.0,-1,0.011326652904626514,0.05356225787485856,0.06812063474678959,UNLOADING,0.3568552752564525,0.0,0.07754356221915933,0.119237568310119,0.632574946627099,0.06219122794721124,0,ok,0.049361543831811,0.7772837359565941,FLAT,0.0,-1,0.003824795721716111,0.04060067083395347,0.06692363109023666,SUPPORT,0.4743262965341698,0.0,0.0797686013922324,0.0,-0.0050000000000000044,0.705,0,staged_v3,0.11723264013217229,2,0.942296078826685,0.1120583991270925,2,0,0,0
v3_pelvis_proxy:v3_left_hand_proxy,9,0.26382784143546567,1.0000000000000009,0.5245132187547876,0.1262718621893327,0.855165636651756,FLAT,0.0,-1,0.0070960863173339574,0.047111916778086585,0.07813141578325201,UNLOADING,0.30587595021981645,0.0,0.07185860984769986,0.09886841248504663,0.5245132187547876,0.061797525108557905,0,ok,0.06859981566951485,0.8021346058216884,FLAT,0.0,-1,0.0013773472909986441,0.03883380096956425,0.049123828127336934,SUPPORT,0.4708511113150027,0.0,0.07719141779568944,0.0,-0.0050000000000000044,0.7,0,staged_v3,0.10922325010177387,2,0.9756309521673068,0.10621056280936882,2,0,0,0
