frame_idx,event,side,value
0,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
0,velocity_saturation,,1.0
1,velocity_saturation,,1.0
2,touchdown,left,FLAT
2,touchdown,right,FLAT
2,arm_branch_flip,right,-1
2,velocity_saturation,,0.9999999999999999
5,load_transition,left,UNLOADED->SUPPORT
5,load_transition,right,UNLOADED->SUPPORT
9,load_transition,left,SUPPORT->UNLOADING
18,velocity_saturation,,0.9999957137360144
20,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
22,velocity_saturation,,1.0
23,velocity_saturation,,1.0
27,load_transition,left,UNLOADING->SUPPORT
27,velocity_saturation,,1.0
28,load_transition,right,SUPPORT->UNLOADING
30,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
30,velocity_saturation,,1.0
31,load_transition,right,UNLOADING->SUPPORT
32,load_transition,left,SUPPORT->UNLOADING
34,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
36,velocity_saturation,,0.999983235656018
40,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
49,load_transition,left,UNLOADING->SUPPORT
49,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
49,velocity_saturation,,0.9999837166555033
50,load_transition,left,SUPPORT->UNLOADING
50,load_transition,right,SUPPORT->UNLOADING
53,load_transition,left,UNLOADING->SUPPORT
53,load_transition,right,UNLOADING->SUPPORT
54,load_transition,left,SUPPORT->UNLOADING
54,velocity_saturation,,1.0
64,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
64,velocity_saturation,,1.0
65,load_transition,left,UNLOADING->SUPPORT
66,load_transition,right,SUPPORT->UNLOADING
66,velocity_saturation,,1.0
69,velocity_saturation,,1.0
70,load_transition,right,UNLOADING->SUPPORT
71,load_transition,left,SUPPORT->UNLOADING
71,velocity_saturation,,1.0000000000000002
72,velocity_saturation,,1.0
74,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
76,load_transition,left,UNLOADING->SUPPORT
76,velocity_saturation,,1.0
77,load_transition,right,SUPPORT->UNLOADING
80,load_transition,right,UNLOADING->SUPPORT
82,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
82,velocity_saturation,,1.0000000000000002
84,velocity_saturation,,0.9999977015822001
85,load_transition,left,SUPPORT->UNLOADING
85,load_transition,right,SUPPORT->UNLOADING
87,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
88,load_transition,left,UNLOADING->SUPPORT
88,load_transition,right,UNLOADING->SUPPORT
89,load_transition,right,SUPPORT->UNLOADING
91,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
91,velocity_saturation,,1.0000000000000002
95,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
96,load_transition,right,UNLOADING->SUPPORT
96,velocity_saturation,,1.0
97,load_transition,left,SUPPORT->UNLOADING
97,load_transition,right,SUPPORT->UNLOADING
99,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
99,velocity_saturation,,1.0
100,load_transition,left,UNLOADING->SUPPORT
100,load_transition,right,UNLOADING->SUPPORT
