frame_idx,event,side,value
0,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
0,velocity_saturation,,1.0
1,velocity_saturation,,1.0
2,touchdown,left,FLAT
2,touchdown,right,FLAT
2,arm_branch_flip,right,-1
2,velocity_saturation,,0.9999999999999999
5,load_transition,left,UNLOADED->SUPPORT
5,load_transition,right,UNLOADED->SUPPORT
9,load_transition,left,SUPPORT->UNLOADING
18,velocity_saturation,,0.9999968013632113
20,velocity_saturation,,1.0
22,velocity_saturation,,1.0000000000000002
27,load_transition,left,UNLOADING->SUPPORT
28,load_transition,right,SUPPORT->UNLOADING
30,velocity_saturation,,0.9999999999999999
33,velocity_saturation,,0.9999992626029607
36,velocity_saturation,,0.9999979256034212
37,velocity_saturation,,0.9999987805688293
38,velocity_saturation,,1.0000000000000002
42,velocity_saturation,,1.0
45,arm_branch_flip,right,1
45,velocity_saturation,,0.9999709150741455
46,load_transition,right,UNLOADING->SUPPORT
46,velocity_saturation,,1.0
47,load_transition,left,SUPPORT->UNLOADING
47,arm_branch_flip,right,-1
48,velocity_saturation,,1.0000000000000002
49,velocity_saturation,,0.9999999999999999
50,velocity_saturation,,1.0
51,velocity_saturation,,1.0
52,load_transition,left,UNLOADING->SUPPORT
52,velocity_saturation,,1.0
53,load_transition,left,SUPPORT->UNLOADING
53,load_transition,right,SUPPORT->UNLOADING
53,velocity_saturation,,1.0
54,velocity_saturation,,1.0
56,load_transition,left,UNLOADING->SUPPORT
56,load_transition,right,UNLOADING->SUPPORT
57,load_transition,left,SUPPORT->UNLOADING
63,velocity_saturation,,1.0000000000000002
64,velocity_saturation,,1.0000000000000002
65,velocity_saturation,,1.0
68,load_transition,left,UNLOADING->SUPPORT
68,velocity_saturation,,1.0
69,load_transition,left,SUPPORT->UNLOADING
69,load_transition,right,SUPPORT->UNLOADING
72,load_transition,left,UNLOADING->SUPPORT
72,load_transition,right,UNLOADING->SUPPORT
73,velocity_saturation,,0.9999945920867646
74,load_transition,right,SUPPORT->UNLOADING
77,load_transition,right,UNLOADING->SUPPORT
78,load_transition,left,SUPPORT->UNLOADING
85,velocity_saturation,,0.9999884493578439
86,load_transition,left,UNLOADING->SUPPORT
88,velocity_saturation,,1.0000000000000002
89,load_transition,left,SUPPORT->UNLOADING
89,load_transition,right,SUPPORT->UNLOADING
90,velocity_saturation,,1.0
92,load_transition,left,UNLOADING->SUPPORT
92,load_transition,right,UNLOADING->SUPPORT
93,velocity_saturation,,0.9999964341209155
94,load_transition,left,SUPPORT->UNLOADING
94,velocity_saturation,,0.9999940352682847
98,velocity_saturation,,0.999980474792031
106,velocity_saturation,,0.9999999999999999
107,load_transition,left,UNLOADING->SUPPORT
108,load_transition,left,SUPPORT->UNLOADING
112,load_transition,left,UNLOADING->SUPPORT
113,load_transition,left,SUPPORT->UNLOADING
116,load_transition,left,UNLOADING->SUPPORT
117,velocity_saturation,,0.999999746094574
118,load_transition,left,SUPPORT->UNLOADING
118,load_transition,right,SUPPORT->UNLOADING
121,load_transition,left,UNLOADING->SUPPORT
121,load_transition,right,UNLOADING->SUPPORT
122,velocity_saturation,,1.0
123,load_transition,right,SUPPORT->UNLOADING
