active_collision_pair,frame_idx,frame_root_angular_budget_usage,frame_root_z_budget_usage,frame_velocity_budget_usage_max,left_anchor_error_xy,left_contact_confidence,left_contact_phase,left_contact_slack,left_elbow_branch_sign,left_foot_vxy,left_heel_height,left_liftoff_probability,left_load_phase,left_lock_weight,left_swing_clearance_error,left_toe_height,max_joint_delta,max_joint_velocity_ratio,min_self_collision_distance,qp_resolve_count,qp_status,right_anchor_error_xy,right_contact_confidence,right_contact_phase,right_contact_slack,right_elbow_branch_sign,right_foot_vxy,right_heel_height,right_liftoff_probability,right_load_phase,right_lock_weight,right_swing_clearance_error,right_toe_height,root_ddz,root_dz,root_z,safety_backtracked,solver_mode,stage_a_high_priority_error,stage_a_iterations,stage_b_detail_error,stage_b_high_priority_error,stage_b_iterations,stage_b_rejected,stage_c_iterations,stage_c_triggered
v3_pelvis_proxy:v3_left_hand_proxy,0,1.0,1.0000000000000009,1.0,0.0,0.16665577551076677,AIR,0.0,-1,0.0,0.08488584238222252,0.0030357889982638516,UNLOADED,0.03322996874819481,0.0,0.11581905949877463,0.1884955592153876,1.0,0.04154341132874527,0,ok,0.0,0.22011209563076015,AIR,0.0,1,0.0,0.10708160923863436,0.003255194501317052,UNLOADED,0.043879117589477906,0.0,0.0848984784253811,0.0,-0.0050000000000000044,0.745,0,staged_v3,0.583740041055277,2,1.133711820206652,0.5836803651051783,2,0,0,0
v3_pelvis_proxy:v3_left_hand_proxy,1,0.9999999999999999,1.0000000000000009,1.0,0.0,0.28145717106631474,AIR,0.0,-1,0.011623236930277047,0.0817018692706484,0.005184298118590272,UNLOADED,0.08258357763533422,0.0,0.11899256668181034,0.1884955592153876,1.0,0.04565482301895109,0,ok,0.0,0.37092559033643535,AIR,0.0,-1,0.00951055221945901,0.09982884235275907,0.005440169111500378,UNLOADED,0.10888483255102674,0.0,0.08761757077006671,0.0,-0.0050000000000000044,0.74,0,staged_v3,0.5064455047972305,2,1.0933830052874456,0.5065989384813817,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,2,1.0000000000000002,1.0000000000000009,0.9999999999999999,0.0,0.3669307215152202,FLAT,0.0,-1,0.015186193069135073,0.07830534402040465,0.00676124016640712,UNLOADED,0.13895682506479193,0.0,0.11096952565107182,0.18849555921538758,0.9999999999999999,0.04972236704143203,0,ok,0.0,0.4809758479229591,FLAT,0.0,-1,0.017439037147596467,0.08563925594211015,0.006610049705350335,UNLOADED,0.18266718077304445,0.0,0.08913501977734611,0.0,-0.0050000000000000044,0.735,0,staged_v3,0.42946779952430947,2,0.9986025888386904,0.429544381933516,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,3,0.9999999999999997,1.0000000000000009,0.5932425425280573,0.0,0.44372841059762885,FLAT,0.0,-1,0.004390670190519054,0.07364563929750587,0.007639961785874277,UNLOADED,0.19923312855130482,0.0,0.10280185043893471,0.11182358480418453,0.5932425425280573,0.04906479408121475,0,ok,0.0,0.5761954553372224,FLAT,0.0,-1,0.009296190427734372,0.07517436581403256,0.007492951035732539,UNLOADED,0.26050935481910936,0.0,0.08858989364329506,0.0,-0.0050000000000000044,0.73,0,staged_v3,0.35286540397644767,2,0.8921376115677259,0.3527733306761469,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,4,0.9999999999999997,1.0000000000000009,0.4853492026886794,0.0,0.48964160008598334,FLAT,0.0,-1,0.017046694128117826,0.067879938411009,0.007969786335045515,UNLOADED,0.25653435507155353,0.0,0.09669628712062459,0.09148616937554513,0.4853492026886794,0.05040495953401357,0,ok,0.0,0.6384382932275936,FLAT,0.0,-1,0.015124184065984935,0.06808707104945294,0.007718478580665452,UNLOADED,0.33510958804253543,0.0,0.08678965397700542,0.0,-0.0050000000000000044,0.725,0,staged_v3,0.2763089790237468,2,0.8144702121722849,0.27612410905582274,2,0,0,0
v3_torso_proxy:v3_right_forearm_proxy,5,1.0000000000000007,1.0000000000000009,0.6621256076528703,0.0,0.5247673285312054,FLAT,0.0,-1,0.01679094275747641,0.06215483412634265,0.006968863742215688,SUPPORT,0.3094495433617038,0.0,0.09236695927466584,0.12480773668535612,0.6621256076528703,0.04913467937484342,0,ok,0.008182849535255029,0.695365250716734,FLAT,0.0,-1,0.012349098330262733,0.062113972769289275,0.00803632514405563,SUPPORT,0.4060430843276477,0.0,0.08358120427509291,0.0,-0.0050000000000000044,0.72,0,staged_v3,0.20019982520950133,2,0.8449956610527534,0.19995348274802482,2,0,0,0
v3_torso_proxy:v3_right_forearm_proxy,6,0.8986058211397845,1.0000000000000009,0.7093980977831276,0.02479303285503978,0.5644920374848337,FLAT,0.0,-1,0.005929931839145783,0.056818241193543575,0.03459854030761349,SUPPORT,0.35655192208388065,0.0,0.08975100265576125,0.13371839114796286,0.7093980977831276,0.04694915866709498,0,ok,0.018552189956142925,0.7438570372171004,FLAT,0.0,-1,0.0062845324300280095,0.05674422849517112,0.037188643874251866,SUPPORT,0.4642877371469273,0.0,0.07903716248696738,0.0,-0.0050000000000000044,0.715,0,staged_v3,0.14847037723141712,2,0.8877104475490153,0.1327565106804703,2,0,0,0
v3_torso_proxy:v3_right_forearm_proxy,7,0.5329333061783403,1.0000000000000009,0.6389440641152461,0.040818740055861016,0.5957697284146223,FLAT,0.0,-1,0.0024916113773485403,0.05220975925747953,0.05439606866774789,SUPPORT,0.3752415376671045,0.0,0.08712390739992854,0.12043811867275578,0.6389440641152461,0.04944360918934708,0,ok,0.037979191724779884,0.7869642828699914,FLAT,0.0,-1,0.004497440825805882,0.05287975207408403,0.05856121886651843,SUPPORT,0.5005480321365255,0.0,0.07381715991865845,0.0,-0.0050000000000000044,0.71,0,staged_v3,0.1041502058920104,2,0.9430039406625501,0.10007542425824822,2,0,0,0
v3_torso_proxy:v3_right_forearm_proxy,8,0.32218178431864614,1.0000000000000009,0.335801160702374,0.056589464473848494,0.6255511113958733,FLAT,0.0,-1,0.0013519682931292607,0.04771781195297841,0.06949043127574762,SUPPORT,0.3901932301336836,0.0,0.0837826317679842,0.06329702757177022,0.335801160702374,0.05100098865375205,0,ok,0.055328253105354955,0.822474041807147,FLAT,0.0,-1,0.004856407975309742,0.04904292598315817,0.07423688934692527,SUPPORT,0.4933268846884505,0.0,0.06900010285672448,0.0,-0.0050000000000000044,0.705,0,staged_v3,0.09802416210398718,2,0.9629400309047881,0.0992356669078129,2,1,0,0
v3_torso_proxy:v3_right_forearm_proxy,9,0.24052055214604676,1.0000000000000009,0.30153775244451153,0.07582923318035535,0.6472862008997892,FLAT,0.0,-1,0.0028382801391391905,0.043658993528629515,0.08040334374790296,SUPPORT,0.4021545841069469,0.0,0.0807822890528227,0.056838527271579314,0.30153775244451153,0.05604791277940199,0,ok,0.07791181424686282,0.8487414076283768,FLAT,0.0,-1,0.005727675605309762,0.04599176194675357,0.08586772757296779,SUPPORT,0.48713732973295754,0.0,0.06439068704199294,0.0,-0.0050000000000000044,0.7,0,staged_v3,0.10024281066468171,2,0.9874727092714078,0.10219322085543787,2,1,0,0
v3_torso_proxy:v3_right_forearm_proxy,10,0.16290170998717893,1.0000000000000009,0.3221763538737199,0.09129172257934501,0.6604416711714928,FLAT,0.0,-1,0.004122349637124382,0.039369682831203956,0.08847172175560292,SUPPORT,0.4117236672855575,0.0,0.0771853643388423,0.06072881198940144,0.3221763538737199,0.062384502806618766,0,ok,0.09500704389082533,0.8575388135277148,FLAT,0.0,-1,0.010226438347322812,0.04315301782010743,0.09444383063539886,SUPPORT,0.4818319969139636,0.0,0.06016935695749074,0.0,-0.0050000000000000044,0.695,0,staged_v3,0.10292253420591072,2,1.0073462757346148,0.10418057417339299,2,1,0,0
v3_torso_proxy:v3_right_forearm_proxy,11,0.17399208403469768,1.0000000000000009,0.7679896643209339,0.09304170434238594,0.6719369998833368,FLAT,0.0,-1,0.0029355057438391354,0.03368674854419065,0.09445494162045676,UNLOADING,0.3529060005304778,0.0,0.07193602591248896,0.14476264124781224,0.7679896643209339,0.07732458430915942,0,ok,0.0985780638201652,0.8624694329052941,FLAT,0.0,-1,0.010564500314730482,0.038704546829843485,0.10071081458908399,UNLOADING,0.4129988544976831,0.0,0.05405876689755243,0.0,-0.0050000000000000044,0.69,0,staged_v3,0.10352941867088233,2,1.0346618588754586,0.10449659708390527,2,0,0,0
v3_torso_proxy:v3_right_forearm_proxy,12,0.08906269031878047,1.0000000000000009,0.8730248818398526,0.09134949692582932,0.6742512050272651,FLAT,0.0,-1,0.008877610413477323,0.031519738031718855,0.0705185854400119,UNLOADING,0.30529714004297615,0.0,0.06861109268177935,0.1645613133113507,0.8730248818398526,0.09109018639175939,0,ok,0.09868513267815972,0.8614477416248753,FLAT,0.0,-1,0.012308685522226961,0.03311195255223225,0.07687948505328068,UNLOADING,0.35632852103451157,0.0,0.04735892420251671,0.0,-0.0050000000000000044,0.6849999999999999,0,staged_v3,0.10509437495876199,2,1.0535289207122795,0.10548660650729604,2,0,0,0
v3_torso_proxy:v3_right_forearm_proxy,13,0.05926881275172136,1.0000000000000009,0.9730197740683445,0.09069423417778637,0.6786376435913217,FLAT,0.0,-1,0.006760425625109307,0.029128063399726484,0.053367436775676715,UNLOADING,0.26494232897733894,0.0,0.0660952911919799,0.1834099064406427,0.9730197740683445,0.1051771798681359,0,ok,0.09821567774706982,0.8552155823753083,FLAT,0.0,-1,0.016058455196513114,0.03007055522559339,0.0597624724187915,UNLOADING,0.30776016268881023,0.0,0.04271477537049075,0.0,-0.0050000000000000044,0.6799999999999999,0,staged_v3,0.10736914526021231,2,1.066095213442906,0.10674251957662306,2,0,0,0
v3_torso_proxy:v3_right_forearm_proxy,14,0.06086841061513501,1.0000000000000009,1.0000000000000002,0.09224441726762117,0.6823327386389861,FLAT,0.0,-1,0.006868281218954044,0.02035441630990183,0.04140898493875361,SUPPORT,0.3019538631818712,0.006716032937035852,0.05912206170415793,0.18849555921538763,1.0000000000000002,0.11977307565880155,0,ok,0.09742338671077778,0.846377616755458,FLAT,0.0,-1,0.01861512621652315,0.02678018104801103,0.04733759537331346,SUPPORT,0.33620813015104817,0.0005866987206546471,0.038508525666231364,0.0,-0.0050000000000000044,0.6749999999999999,0,staged_v3,0.10444141535886711,2,1.074700452068289,0.10283213801327955,2,0,0,0
v3_torso_proxy:v3_right_forearm_proxy,15,0.044934322876182736,1.0000000000000009,1.0000000000000002,0.08858172082370931,0.6710079264477768,FLAT,0.0,-1,0.015289702470843304,0.02383390540239901,0.06118724871423064,UNLOADING,0.2588175970130324,0.004225457033312525,0.05951430715321953,0.18849555921538763,1.0000000000000002,0.1330376699278765,0,ok,0.09529336934848304,0.8337516320040002,FLAT,0.0,-1,0.01753781631052052,0.026153458879060974,0.06655980218375382,UNLOADING,0.288178397272327,0.0021745312301267167,0.03485133466141925,0.0,-0.0050000000000000044,0.6699999999999999,0,staged_v3,0.10973555436551491,2,1.0785115241096046,0.1097914998134283,2,0,0,0
v3_torso_proxy:v3_right_forearm_proxy,16,0.02963859956697218,1.0000000000000009,1.0000000000000002,0.08774257850500654,0.6635157482572415,FLAT,0.0,-1,0.01597640300603325,0.021741956320510007,0.04701212503552622,UNLOADING,0.22575859783922822,0.005608649931266307,0.05726495240265689,0.18849555921538763,1.0000000000000002,0.14414996089247,0,ok,0.09359989753208157,0.8235263274465094,FLAT,0.0,-1,0.01683521786969687,0.024743850814147247,0.0517310920561973,UNLOADING,0.24996133108679813,0.00284270378866262,0.03257489079837703,0.0,-0.0050000000000000044,0.6649999999999999,0,staged_v3,0.11392977659251545,2,1.0797994342508759,0.11261596698672115,2,0,0,0
v3_torso_proxy:v3_right_forearm_proxy,17,0.04958782708966382,1.0000000000000009,1.0000000000000002,0.08737331574468468,0.6587245332847195,FLAT,0.0,-1,0.0177327488822097,0.01734856527494514,0.03685520508847859,UNLOADING,0.1976749671048484,0.00949419497947879,0.0525657549502936,0.18849555921538763,1.0000000000000002,0.15108895389178978,0,ok,0.09143169488803161,0.815997754812898,FLAT,0.0,-1,0.015393826125463089,0.024283005192393504,0.041038288455171976,UNLOADING,0.2176135105119167,0.002768909230365095,0.03019593444863399,0.0,-0.0050000000000000044,0.6599999999999999,0,staged_v3,0.11501876602942454,2,1.078450632282426,0.11319740748772826,2,0,0,0
