frame_idx,event,side,value
0,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
0,velocity_saturation,,1.0
1,arm_branch_flip,right,-1
1,velocity_saturation,,1.0
2,touchdown,left,FLAT
2,touchdown,right,FLAT
2,velocity_saturation,,0.9999999999999999
5,load_transition,left,UNLOADED->SUPPORT
5,load_transition,right,UNLOADED->SUPPORT
5,collision_constraint_activation,,v3_torso_proxy:v3_right_forearm_proxy
11,load_transition,left,SUPPORT->UNLOADING
11,load_transition,right,SUPPORT->UNLOADING
14,load_transition,left,UNLOADING->SUPPORT
14,load_transition,right,UNLOADING->SUPPORT
14,velocity_saturation,,1.0000000000000002
15,load_transition,left,SUPPORT->UNLOADING
15,load_transition,right,SUPPORT->UNLOADING
15,velocity_saturation,,1.0000000000000002
16,velocity_saturation,,1.0000000000000002
17,velocity_saturation,,1.0000000000000002
18,load_transition,left,UNLOADING->SUPPORT
18,load_transition,right,UNLOADING->SUPPORT
18,velocity_saturation,,1.0000000000000002
19,load_transition,left,SUPPORT->UNLOADING
19,load_transition,right,SUPPORT->UNLOADING
20,velocity_saturation,,1.0000000000000002
22,load_transition,left,UNLOADING->SUPPORT
22,load_transition,right,UNLOADING->SUPPORT
22,velocity_saturation,,1.0000000000000002
23,load_transition,left,SUPPORT->UNLOADING
23,load_transition,right,SUPPORT->UNLOADING
24,velocity_saturation,,1.0000000000000002
25,velocity_saturation,,0.9999998499787494
26,load_transition,left,UNLOADING->SUPPORT
26,load_transition,right,UNLOADING->SUPPORT
26,velocity_saturation,,1.0
27,load_transition,right,SUPPORT->UNLOADING
27,velocity_saturation,,1.0
28,velocity_saturation,,1.0000000000000002
30,velocity_saturation,,1.0
32,velocity_saturation,,1.0000000000000002
33,arm_branch_flip,left,1
33,velocity_saturation,,1.0000000000000002
34,velocity_saturation,,1.0000000000000002
35,velocity_saturation,,0.999989922765138
38,velocity_saturation,,1.0
41,velocity_saturation,,1.0
42,arm_branch_flip,right,1
43,velocity_saturation,,1.0
44,load_transition,right,UNLOADING->SUPPORT
45,load_transition,left,SUPPORT->UNLOADING
46,velocity_saturation,,1.0000000000000002
47,velocity_saturation,,1.0000000000000002
48,velocity_saturation,,0.9999999999999999
54,load_transition,left,UNLOADING->SUPPORT
54,velocity_saturation,,0.9999998844483703
57,load_transition,left,SUPPORT->UNLOADING
57,load_transition,right,SUPPORT->UNLOADING
59,velocity_saturation,,0.999999999999999
60,load_transition,left,UNLOADING->SUPPORT
60,load_transition,right,UNLOADING->SUPPORT
61,load_transition,left,SUPPORT->UNLOADING
61,load_transition,right,SUPPORT->UNLOADING
64,load_transition,left,UNLOADING->SUPPORT
64,load_transition,right,UNLOADING->SUPPORT
64,velocity_saturation,,1.0000000000000002
65,velocity_saturation,,1.0000000000000002
66,load_transition,left,SUPPORT->UNLOADING
66,load_transition,right,SUPPORT->UNLOADING
66,velocity_saturation,,1.0
69,load_transition,left,UNLOADING->SUPPORT
69,load_transition,right,UNLOADING->SUPPORT
70,load_transition,right,SUPPORT->UNLOADING
73,load_transition,right,UNLOADING->SUPPORT
73,velocity_saturation,,0.9999863725781459
74,load_transition,right,SUPPORT->UNLOADING
