active_collision_pair,frame_idx,frame_root_angular_budget_usage,frame_root_z_budget_usage,frame_velocity_budget_usage_max,left_anchor_error_xy,left_contact_confidence,left_contact_phase,left_contact_slack,left_elbow_branch_sign,left_foot_vxy,left_heel_height,left_liftoff_probability,left_load_phase,left_lock_weight,left_swing_clearance_error,left_toe_height,max_joint_delta,max_joint_velocity_ratio,min_self_collision_distance,qp_resolve_count,qp_status,right_anchor_error_xy,right_contact_confidence,right_contact_phase,right_contact_slack,right_elbow_branch_sign,right_foot_vxy,right_heel_height,right_liftoff_probability,right_load_phase,right_lock_weight,right_swing_clearance_error,right_toe_height,root_ddz,root_dz,root_z,safety_backtracked,solver_mode,stage_a_high_priority_error,stage_a_iterations,stage_b_detail_error,stage_b_high_priority_error,stage_b_iterations,stage_b_rejected,stage_c_iterations,stage_c_triggered
v3_pelvis_proxy:v3_left_hand_proxy,0,1.0,1.0000000000000009,1.0,0.0,0.1480129139060684,AIR,0.0,1,0.0,0.09507570345105698,0.013791629392731737,UNLOADED,0.029194314930427526,0.0,0.09323825549756663,0.1884955592153876,1.0,0.03994828752688262,0,ok,0.0,0.1477903075951023,AIR,0.0,-1,0.0,0.10787151955224192,0.28346868942621073,UNLOADED,0.02117927655824442,0.0,0.08196512563742697,0.0,-0.0050000000000000044,0.745,0,staged_v3,0.6231982363530967,2,1.112806388427205,0.6120366075823951,2,0,0,0
v3_pelvis_proxy:v3_left_hand_proxy,1,0.9999999999999999,1.0000000000000009,1.0,0.0,0.17208117242400187,AIR,0.0,1,0.09088000554642067,0.08428905337276045,0.02299097579593171,UNLOADED,0.05698042361511524,0.0,0.10120497171097294,0.1884955592153876,1.0,0.02144579078789948,0,ok,0.0,0.11509920728542948,AIR,0.0,-1,0.31294494769625697,0.13496961900097307,0.4569169319086618,UNLOADED,0.02944510737208593,0.0,0.07307673168622648,0.0,-0.0050000000000000044,0.74,0,staged_v3,0.526535901216009,2,1.1097780399632111,0.5199929961778164,2,0,0,0
v3_pelvis_proxy:v3_left_hand_proxy,2,1.0000000000000002,1.0000000000000009,0.9276718178572902,0.0,0.18805555990804596,FLAT,0.0,1,0.09041020377284073,0.07283761053963522,0.029122882017717244,UNLOADED,0.08210010689690582,0.0,0.10240856511012611,0.1748620180753651,0.9276718178572902,0.01693824356540597,0,ok,0.0,0.08963935276479043,AIR,0.0,-1,0.4682553873429751,0.16693186368026675,0.5329721012845631,UNLOADED,0.031928901610459116,0.0,0.07040441299383594,0.0,-0.0050000000000000044,0.735,0,staged_v3,0.4422814196125761,2,1.0590449798932442,0.4400536726409495,2,0,0,0
v3_pelvis_proxy:v3_left_hand_proxy,3,0.9999999999999992,1.0000000000000009,0.5826250863869803,0.0,0.2068929245611958,FLAT,0.0,1,0.0831813807540526,0.06524041707409803,0.03351658481912881,UNLOADED,0.10567180157885722,0.0,0.09796021000455538,0.10982224147142736,0.5826250863869803,0.021494152610740773,0,ok,0.0,0.06981119812723269,AIR,0.0,-1,0.6344900713311169,0.19046143550696476,0.528287760742935,UNLOADING,0.032129280607130405,0.0,0.06985041334178443,0.0,-0.0050000000000000044,0.73,0,staged_v3,0.37754217115180433,2,0.9892904047506215,0.3751281590797108,2,0,0,0
v3_pelvis_proxy:v3_left_hand_proxy,4,1.0,1.0000000000000009,0.6845472853953324,0.0,0.22062622851891106,FLAT,0.0,-1,0.07905920484644992,0.06023063064782472,0.03666481044569596,UNLOADED,0.12704484319726905,0.0,0.09411940671198846,0.12903412336996872,0.6845472853953324,0.03654347610277783,0,ok,0.0,0.05436901576864181,AIR,0.0,-1,0.7114890448592448,0.2133568362402595,0.4858478682765789,UNLOADING,0.031532804142847703,0.0,0.07400954211631454,0.0,-0.0050000000000000044,0.725,0,staged_v3,0.3155860596446843,2,0.9234599096397006,0.3107971196747166,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,5,1.000000000000001,1.0000000000000009,0.8000446394479858,0.0,0.22571435697129177,FLAT,0.0,-1,0.0892453274108829,0.05642215466840263,0.03828841845896444,LOADING,0.14505029680169101,0.0,0.09213961827242008,0.15080486171002122,0.8000446394479858,0.061134987019578355,0,ok,0.0,0.042342632055439804,AIR,0.0,-1,1.7438021174507212,0.21778335412273647,0.43721536932965077,UNLOADING,0.03043237248571677,0.0,0.07612079498718402,0.0,-0.0050000000000000044,0.72,0,staged_v3,0.23988542882630964,2,0.8568896238382763,0.2364111352438513,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,6,0.9090944447183724,1.0000000000000009,0.9638379276784119,0.0,0.23794243489335237,FLAT,0.0,-1,0.0847849108322665,0.05375927864584186,0.0391631717569413,LOADING,0.16176500833082466,0.0,0.08981835634215028,0.18167916917074256,0.9638379276784119,0.06301168919382051,0,ok,0.0,0.03297647500208089,AIR,0.0,-1,1.9369500087797469,0.22040870008699542,0.4124925428879517,UNLOADING,0.02885259426961317,0.0,0.08298327418971432,0.0,-0.0050000000000000044,0.715,0,staged_v3,0.1921450128444845,2,0.8741579651123911,0.17839190277560477,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,7,0.5165105593745479,1.0000000000000009,1.0000000000000002,0.0,0.24913408781755042,FLAT,0.0,-1,0.08240737754022869,0.052858672620267104,0.0397899598839694,LOADING,0.17725621715617187,0.0,0.086693204178973,0.18849555921538763,1.0000000000000002,0.06669031949452418,0,ok,0.0,0.025682104554555205,AIR,0.0,-1,2.3268894894405303,0.21415381376867232,0.39477786365659273,UNLOADING,0.026951277685997383,0.0,0.08956814608952796,0.0,-0.0050000000000000044,0.71,0,staged_v3,0.1589508402100385,2,0.9291358909916507,0.1501606469105008,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,8,0.3406455252963946,1.0000000000000009,0.878679713673849,0.0,0.25376953035233973,FLAT,0.0,-1,0.08274861765143783,0.05229574325710041,0.04016840023172453,SUPPORT,0.23180497372493752,0.0,0.08359368568564059,0.16562722400016883,0.878679713673849,0.07155673722726022,0,ok,0.0,0.020001243138009286,AIR,0.0,-1,2.479998105981846,0.20167882126631137,0.3820847413305528,UNLOADING,0.024866677063331115,0.0,0.09302798961066702,0.0,-0.0050000000000000044,0.705,0,staged_v3,0.138730112308576,2,0.9718497172994881,0.13308319662544957,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,9,0.22701716129403623,1.0000000000000009,0.6891212513429416,0.0,0.26044797065603875,FLAT,0.0,-1,0.08092562649371327,0.05100752962773354,0.040439564590075514,SUPPORT,0.27544397897995004,0.0,0.07994369798853754,0.12989629563909544,0.6891212513429416,0.0769594277284527,0,ok,0.0,0.015576983818283196,AIR,0.0,-1,2.562385010434381,0.18456051186427838,0.3912127089324013,UNLOADING,0.022669018880246163,0.0,0.09360263366813498,0.0,-0.0050000000000000044,0.7,0,staged_v3,0.12616649013432082,2,1.0027272059882797,0.12216581242690897,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,10,0.156410366484777,1.0000000000000009,0.4795597978451435,0.0,0.271769604039989,FLAT,0.0,-1,0.07605618223102933,0.04869661798489891,0.04063386234314565,SUPPORT,0.31035518318396005,0.0,0.07616869196367662,0.09039489227203856,0.4795597978451435,0.08314771043524334,0,ok,0.0,0.012131367195569556,AIR,0.0,-1,2.6794076294246603,0.16296479171671133,0.41597617069842807,UNLOADING,0.020442731543670996,0.0,0.09025654847036611,0.0,-0.0050000000000000044,0.695,0,staged_v3,0.11515137139823486,2,1.0266533943593217,0.11231425590802435,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,11,0.11674935290119196,1.0000000000000009,0.33056832863648294,0.0,0.28609058633832096,FLAT,0.0,-1,0.0742097248728972,0.04579208051553348,0.04077308276679453,SUPPORT,0.33828414654716804,0.0,0.07177544285051345,0.062310661965229885,0.33056832863648294,0.08952367195034412,0,ok,0.0,0.009447918271636322,AIR,0.0,-1,2.7402286353955625,0.139320556094486,0.45884776043411474,UNLOADING,0.01825273591342249,0.0,0.08584927975372697,0.0,-0.0050000000000000044,0.69,0,staged_v3,0.1061724728116956,2,1.0432213667715367,0.10418749697853533,2,0,0,0
v3_pelvis_proxy:v3_right_hand_proxy,12,0.09528635181222546,1.0000000000000009,0.3568682069252216,0.0003936553523699526,0.2954131984322854,FLAT,0.0,-1,0.07583508192744574,0.04275385435823233,0.040874839806465536,SUPPORT,0.36062731723773445,0.0,0.06704717053032841,0.0672680722305623,0.3568682069252216,0.0910989450282566,0,ok,0.0,0.007358046148345002,FLAT,0.0,-1,2.8455009481024423,0.11446432975808589,0.537970530783593,UNLOADING,0.01613086423384637,0.0,0.08138173464861079,0.0,-0.0050000000000000044,0.6849999999999999,0,staged_v3,0.09687023366146182,2,1.0551713544757768,0.09849742803281307,2,0,0,0
v3_pelvis_proxy:v3_right_hand_proxy,13,0.16069113413502012,1.0000000000000009,0.3137010365182231,0.0002935589380615998,0.29749818581282494,FLAT,0.0,-1,0.0775172599885607,0.0401997553803739,0.04094775191146111,SUPPORT,0.3785018537901876,0.0,0.0624613104692872,0.0591312523049492,0.3137010365182231,0.09199808433303508,0,ok,0.0,0.005730452102206622,FLAT,0.0,-1,2.9134371104404013,0.09139842530835894,0.6420741027994992,UNLOADING,0.01411946608758929,0.0,0.07941765184141311,0.0,-0.0050000000000000044,0.6799999999999999,0,staged_v3,0.09098208486539826,2,1.0537411034811257,0.09206037190930383,2,1,0,0
v3_pelvis_proxy:v3_right_hand_proxy,14,0.09034487858573166,1.0000000000000009,0.35743141745717477,0.0008682744455576956,0.30080555165999845,FLAT,0.0,-1,0.07780698321749956,0.03831594641293325,0.04099999571761029,SUPPORT,0.39280148303215007,0.0,0.0581125072920622,0.06737423491473882,0.35743141745717477,0.09266978042177862,0,ok,0.0,0.004462880584551696,FLAT,0.0,-1,2.946274156762868,0.07003495769783474,0.7435348877906258,UNLOADING,0.012265909956489976,0.0,0.08004675465442643,0.0,-0.0050000000000000044,0.6749999999999999,0,staged_v3,0.08997556396359273,2,1.0542815740141576,0.09128372331646066,2,1,0,0
v3_pelvis_proxy:v3_right_hand_proxy,15,0.05285490293786698,1.0000000000000009,0.3175926130268972,0.0020635387066677115,0.29361170185238633,FLAT,0.0,-1,0.08224998783451194,0.035115519958064334,0.04405291941833556,SUPPORT,0.40424118642572004,0.0,0.05218026913328034,0.059864797195181174,0.3175926130268972,0.09253519671543789,0,ok,0.0,0.00347569489400303,FLAT,0.0,-1,2.9869961040257778,0.0612507242741086,0.8117244588302694,UNLOADING,0.010607121153721307,0.0043354986674048746,0.08862974393299951,0.0,-0.0050000000000000044,0.6699999999999999,0,staged_v3,0.09146120851678045,2,1.0550295619098076,0.09268508343968665,2,1,0,0
v3_pelvis_proxy:v3_right_hand_proxy,16,0.048337378172673195,1.0000000000000009,0.3390876872140214,0.0021010848611885445,0.29299927280193144,FLAT,0.0,-1,0.0812907575231221,0.03291156690634042,0.052821056040111086,SUPPORT,0.41339294914057606,0.0,0.04706851857172148,0.0639165232244594,0.3390876872140214,0.0921944119252131,0,ok,0.0,0.0027068739051668432,FLAT,0.0,-1,2.9513440323407325,0.05472172845609341,0.8153772446453009,UNLOADING,0.009163211063013925,0.011047133776171641,0.09961141604684201,0.0,-0.0050000000000000044,0.6649999999999999,0,staged_v3,0.09119602042428389,2,1.0557902866985494,0.09251665316841756,2,1,0,0
v3_pelvis_proxy:v3_right_hand_proxy,17,0.07231976437315736,1.0000000000000009,0.32298564054870244,0.0023562120982974816,0.29258560818702667,FLAT,0.0,-1,0.08205685273418144,0.03211856537341061,0.06655400251545798,SUPPORT,0.4207143593124609,0.0,0.042899736067427655,0.06088135893376784,0.32298564054870244,0.09257077100847352,0,ok,0.0,0.002108115517019489,FLAT,0.0,-1,2.8919843418934956,0.04632087261614164,0.762704677390976,UNLOADING,0.007925644618541682,0.01681436125340717,0.10663786548870109,0.0,-0.0050000000000000044,0.6599999999999999,0,staged_v3,0.09012470538721491,2,1.056131248849728,0.09154525687118299,2,1,0,0
v3_pelvis_proxy:v3_right_hand_proxy,18,0.06746671150789896,1.0000000000000009,0.40824130798703434,0.0030618193991420028,0.2938653040031952,FLAT,0.0,-1,0.08161758231790063,0.03175835972459623,0.08877524301451492,SUPPORT,0.4265714874499687,0.0,0.03907867035672492,0.07695167364383732,0.40824130798703434,0.09296938073292177,0,ok,0.0,0.0016418020154597578,FLAT,0.0,-1,2.6827394963361404,0.039386381186427885,0.7003847849030866,UNLOADING,0.006863682367894088,0.02063285805872645,0.1123039169236197,0.0,-0.0050000000000000044,0.6549999999999999,0,staged_v3,0.08895051166117182,2,1.0565504968538222,0.09044911369654039,2,1,0,0
v3_pelvis_proxy:v3_right_hand_proxy,19,0.05783364841699318,1.0000000000000009,0.4639335737530825,0.0039386560824294,0.2996198816029553,FLAT,0.0,-1,0.08226410753894409,0.03165019372043071,0.13919624492202357,SUPPORT,0.431257189959975,0.00030961852567047005,0.03549267129630701,0.08744941842338055,0.4639335737530825,0.09313724332309398,0,ok,0.0,0.0012786366952882702,AIR,0.0,-1,2.5368753270116327,0.03485259453959643,0.6517374703463319,UNLOADING,0.005946770779624804,0.022734278977720165,0.11876251294425741,0.0,-0.0050000000000000044,0.6499999999999999,0,staged_v3,0.08796049510314247,2,1.0570300933366776,0.089500881742573,2,1,0,0
v3_pelvis_proxy:v3_right_hand_proxy,20,0.048157211911120726,1.0000000000000009,0.41244411266626857,0.005320199732833373,0.30353568980037776,FLAT,0.0,-1,0.07368515858855719,0.031767941571058944,0.21127684142117958,SUPPORT,0.43500575196797997,0.0037959005000000393,0.032546317080788256,0.07774388366212262,0.41244411266626857,0.09289050396772958,0,ok,0.0,0.000995803259554338,AIR,0.0,-1,1.6555431719203053,0.02857873421616394,0.6078329952997612,UNLOADING,0.005153020837045569,0.02681291554882412,0.1311889679979652,0.0,-0.0050000000000000044,0.6449999999999999,0,staged_v3,0.08770516226407687,2,1.0573495517233513,0.08931106936464876,2,1,0,0
v3_pelvis_proxy:v3_right_hand_proxy,21,0.03710203195237414,1.0000000000000009,0.2469821421560299,0.006815689333728873,0.3180912157152603,FLAT,0.0,-1,0.0686645809295079,0.031736780082326554,0.32272500835457335,SUPPORT,0.438004601574384,0.011210629165639804,0.029925621252088867,0.04655503700191521,0.2469821421560299,0.09181412718541762,0,ok,0.0,0.0007755323583259759,AIR,0.0,-1,1.2826893427620165,0.023229056483997614,0.5631415657088265,UNLOADING,0.004465274696296263,0.029928021801443713,0.13645949174466385,0.0,-0.0050000000000000044,0.6399999999999999,0,staged_v3,0.08820835541034386,2,1.0583687999990763,0.08980909268271059,2,1,0,0
v3_pelvis_proxy:v3_right_hand_proxy,22,0.062212872615347255,1.0000000000000009,0.11790604111470337,0.008851167552522224,0.3321802188042414,FLAT,0.0,-1,0.07018163967858142,0.030560041543069145,0.44790648520650334,SUPPORT,0.4404036812595072,0.02032824139552814,0.02706708286479703,0.022224765154788495,0.11790604111470337,0.08906397982467898,0,ok,0.0,0.0006039852079614833,AIR,0.0,-1,0.6238729275799446,0.016034552563940565,0.5330116770093782,UNLOADING,0.0038676717453078073,0.03561603128652835,0.12481455171645316,0.0,-0.0050000000000000044,0.6349999999999999,0,staged_v3,0.089530976401623,2,1.060581524700875,0.09104901625358158,2,1,0,0
v3_pelvis_proxy:v3_right_hand_proxy,23,0.04293624667265143,1.0000000000000009,0.6771866520936219,0.002033304303825932,0.3409833547531308,FLAT,0.0,-1,0.07758501700446127,0.049657909328294746,0.5460692624299491,UNLOADING,0.3989185221598549,0.009103131861448899,0.04320033126004856,0.1276466766795834,0.6771866520936219,0.08725338414524075,0,ok,0.0,0.00047038415292394853,AIR,0.0,-1,0.6176066255271521,0.008022371701473265,0.5095700232326466,UNLOADING,0.003348102994433867,0.04245612946015906,0.10138852770561578,0.0,-0.0050000000000000044,0.6299999999999999,0,staged_v3,0.09075496094581566,2,1.064757942419565,0.09222934851632777,2,1,0,0
v3_pelvis_proxy:v3_right_hand_proxy,24,0.10260855687267702,1.0000000000000009,0.5742004022902811,0.00267774326668275,0.32457456455261363,FLAT,0.0,-1,0.08263849987627861,0.05823106084197182,0.6430365967705264,UNLOADING,0.35845441845592746,0.008067684784950423,0.049084145053575896,0.10823422593140708,0.5742004022902811,0.08298862002154059,0,ok,0.0,0.00036633554664155057,AIR,0.0,-1,0.5740272160045453,0.005902971898747612,0.42890384164044787,UNLOADING,0.002899690112851534,0.04054222018327479,0.07664406501658381,0.0,-0.0050000000000000044,0.6249999999999999,0,staged_v3,0.09265692987606353,2,1.0687718378005955,0.0940152845808103,2,1,0,0
