frame_idx,event,side,value
0,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
0,velocity_saturation,,1.0
1,velocity_saturation,,1.0
2,touchdown,left,FLAT
3,load_transition,right,UNLOADED->UNLOADING
4,arm_branch_flip,left,-1
5,load_transition,left,UNLOADED->LOADING
7,velocity_saturation,,1.0000000000000002
8,load_transition,left,LOADING->SUPPORT
12,touchdown,right,FLAT
19,liftoff,right,AIR
23,load_transition,left,SUPPORT->UNLOADING
26,touchdown,right,FLAT
26,load_transition,right,UNLOADING->LOADING
26,velocity_saturation,,1.0
27,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
30,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
30,velocity_saturation,,1.0000000000000002
31,velocity_saturation,,1.0000000000000002
33,liftoff,left,AIR
34,velocity_saturation,,1.0000000000000002
40,load_transition,right,LOADING->SUPPORT
41,velocity_saturation,,1.0000000000000002
42,touchdown,left,FLAT
42,velocity_saturation,,0.9999999371152165
43,velocity_saturation,,0.9999947067482605
44,velocity_saturation,,1.0000000000000002
45,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
47,liftoff,left,AIR
48,load_transition,right,SUPPORT->UNLOADING
52,load_transition,left,UNLOADING->UNLOADED
53,touchdown,left,FLAT
55,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
55,velocity_saturation,,0.9999642509701382
56,load_transition,left,UNLOADED->LOADING
58,liftoff,right,AIR
59,velocity_saturation,,1.0000000000000002
60,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
60,velocity_saturation,,0.9999982359649197
61,velocity_saturation,,1.0000000000000002
63,arm_branch_flip,right,1
63,velocity_saturation,,1.0
65,velocity_saturation,,1.0
68,touchdown,right,FLAT
69,load_transition,left,LOADING->SUPPORT
72,arm_branch_flip,right,-1
75,liftoff,right,AIR
77,load_transition,left,SUPPORT->UNLOADING
77,velocity_saturation,,0.9999791238404993
79,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
79,velocity_saturation,,0.9999905102746216
80,load_transition,right,UNLOADING->UNLOADED
81,touchdown,right,FLAT
84,load_transition,right,UNLOADED->LOADING
84,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
88,liftoff,left,AIR
95,load_transition,right,LOADING->SUPPORT
98,touchdown,left,FLAT
103,liftoff,left,AIR
106,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
106,velocity_saturation,,1.0000000000000002
107,load_transition,right,SUPPORT->UNLOADING
108,touchdown,left,FLAT
108,load_transition,left,UNLOADING->LOADING
109,arm_branch_flip,right,1
109,velocity_saturation,,0.9999999411705701
114,liftoff,right,AIR
119,load_transition,left,LOADING->SUPPORT
123,touchdown,right,FLAT
130,liftoff,right,AIR
133,load_transition,left,SUPPORT->UNLOADING
134,velocity_saturation,,0.99999641964325
135,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
136,touchdown,right,FLAT
136,load_transition,right,UNLOADING->LOADING
139,velocity_saturation,,0.9999951366856036
143,liftoff,left,AIR
145,velocity_saturation,,0.9998827881054548
146,load_transition,right,LOADING->SUPPORT
149,load_transition,right,SUPPORT->LOADING
152,touchdown,left,FLAT
154,load_transition,right,LOADING->SUPPORT
158,liftoff,left,AIR
161,velocity_saturation,,0.9999867587284199
162,load_transition,right,SUPPORT->UNLOADING
162,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
163,touchdown,left,FLAT
163,load_transition,left,UNLOADING->LOADING
164,velocity_saturation,,0.9999974939439662
167,velocity_saturation,,0.9999942796444282
169,liftoff,right,AIR
175,velocity_saturation,,0.9999921611857405
178,load_transition,left,LOADING->SUPPORT
179,touchdown,right,FLAT
186,liftoff,right,AIR
189,load_transition,left,SUPPORT->UNLOADING
191,load_transition,right,UNLOADING->UNLOADED
192,touchdown,right,FLAT
193,velocity_saturation,,1.0000000000000002
195,load_transition,right,UNLOADED->LOADING
196,liftoff,left,AIR
198,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
200,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
210,touchdown,left,FLAT
210,load_transition,left,UNLOADING->LOADING
211,load_transition,right,LOADING->SUPPORT
