frame_idx,event,side,value
0,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
0,velocity_saturation,,1.0
1,velocity_saturation,,1.0
2,touchdown,left,FLAT
2,touchdown,right,FLAT
2,arm_branch_flip,right,-1
2,velocity_saturation,,0.9999999999999999
5,load_transition,left,UNLOADED->SUPPORT
5,load_transition,right,UNLOADED->SUPPORT
16,load_transition,right,SUPPORT->UNLOADING
34,load_transition,right,UNLOADING->LOADING
35,load_transition,left,SUPPORT->UNLOADING
39,velocity_saturation,,1.0
42,load_transition,right,LOADING->SUPPORT
42,velocity_saturation,,1.0
44,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
44,velocity_saturation,,0.9999986586849118
45,velocity_saturation,,0.9999996744793926
46,liftoff,left,AIR
50,touchdown,left,FLAT
51,velocity_saturation,,0.9999990058198404
52,velocity_saturation,,1.0
53,velocity_saturation,,0.9999673572642015
54,velocity_saturation,,1.0
57,velocity_saturation,,0.999980088047145
58,velocity_saturation,,1.0
59,velocity_saturation,,0.999946349060998
60,velocity_saturation,,0.9999985801262272
62,liftoff,left,AIR
65,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
70,load_transition,right,SUPPORT->UNLOADING
71,touchdown,left,FLAT
71,load_transition,left,UNLOADING->LOADING
71,velocity_saturation,,1.0
72,velocity_saturation,,1.0
73,velocity_saturation,,0.9999999999999999
76,velocity_saturation,,0.9999905059321738
78,load_transition,left,LOADING->SUPPORT
78,liftoff,right,AIR
82,touchdown,right,FLAT
90,liftoff,right,AIR
91,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
95,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
98,load_transition,left,SUPPORT->UNLOADING
98,velocity_saturation,,0.999984856837864
100,touchdown,right,FLAT
100,load_transition,right,UNLOADING->LOADING
105,liftoff,left,AIR
105,velocity_saturation,,1.0000000000000002
107,load_transition,right,LOADING->SUPPORT
108,velocity_saturation,,1.0
109,touchdown,left,FLAT
114,velocity_saturation,,1.0
116,velocity_saturation,,1.0
118,velocity_saturation,,1.0
119,liftoff,left,AIR
120,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
124,load_transition,right,SUPPORT->UNLOADING
129,load_transition,left,UNLOADING->UNLOADED
130,touchdown,left,FLAT
132,velocity_saturation,,0.9999985389288523
133,load_transition,left,UNLOADED->LOADING
133,velocity_saturation,,0.9999999943393305
136,liftoff,right,AIR
136,velocity_saturation,,1.0000000000000002
138,load_transition,left,LOADING->SUPPORT
138,collision_constraint_activation,,v3_torso_proxy:v3_right_forearm_proxy
138,velocity_saturation,,1.0000000000000002
140,touchdown,right,FLAT
146,velocity_saturation,,1.0000000000000002
149,liftoff,right,AIR
156,load_transition,left,SUPPORT->UNLOADING
156,velocity_saturation,,0.999999257631266
158,load_transition,right,UNLOADING->UNLOADED
159,touchdown,right,FLAT
159,velocity_saturation,,1.0000000000000002
161,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
161,velocity_saturation,,0.9999903560622635
162,load_transition,right,UNLOADED->LOADING
163,liftoff,left,AIR
167,touchdown,left,FLAT
168,load_transition,right,LOADING->SUPPORT
168,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
176,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
177,liftoff,left,AIR
179,load_transition,right,SUPPORT->UNLOADING
183,load_transition,left,UNLOADING->UNLOADED
183,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
184,touchdown,left,FLAT
184,velocity_saturation,,1.0
185,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
185,velocity_saturation,,1.0000000000000002
187,load_transition,left,UNLOADED->LOADING
187,velocity_saturation,,1.0
188,liftoff,right,AIR
188,velocity_saturation,,1.0000000000000002
189,velocity_saturation,,1.0000000000000002
190,load_transition,left,LOADING->SUPPORT
190,velocity_saturation,,1.0000000000000002
191,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
191,velocity_saturation,,1.0
192,velocity_saturation,,1.0
193,touchdown,right,FLAT
193,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
193,velocity_saturation,,1.0000000000000002
203,liftoff,right,AIR
207,load_transition,left,SUPPORT->UNLOADING
211,touchdown,right,FLAT
211,load_transition,right,UNLOADING->LOADING
211,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
211,velocity_saturation,,0.9999999221290978
215,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
215,velocity_saturation,,0.9999999629169837
216,liftoff,left,AIR
216,velocity_saturation,,1.0000000000000002
218,velocity_saturation,,0.9999746893287439
219,load_transition,right,LOADING->SUPPORT
220,touchdown,left,FLAT
220,velocity_saturation,,0.9999999686875064
226,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
227,velocity_saturation,,0.9999858140224347
228,velocity_saturation,,1.0
229,liftoff,left,AIR
229,velocity_saturation,,0.9999997664717407
230,velocity_saturation,,1.0
231,velocity_saturation,,0.9999869746013366
234,load_transition,right,SUPPORT->UNLOADING
237,touchdown,left,FLAT
237,load_transition,left,UNLOADING->LOADING
237,velocity_saturation,,1.0
239,velocity_saturation,,1.0000000000000002
240,velocity_saturation,,0.9999999999999999
241,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
241,velocity_saturation,,1.0000000000000002
243,liftoff,right,AIR
244,velocity_saturation,,0.9999977935927522
245,load_transition,left,LOADING->SUPPORT
245,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
247,touchdown,right,FLAT
256,liftoff,right,AIR
262,load_transition,left,SUPPORT->UNLOADING
262,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
262,velocity_saturation,,0.9999931409505779
264,velocity_saturation,,0.9999663125365852
265,load_transition,right,UNLOADING->UNLOADED
265,velocity_saturation,,1.0
266,touchdown,right,FLAT
267,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
267,velocity_saturation,,0.9999976342375355
269,load_transition,right,UNLOADED->LOADING
271,velocity_saturation,,1.0000000000000002
272,velocity_saturation,,0.9999503195960402
273,liftoff,left,AIR
273,velocity_saturation,,1.0
274,load_transition,right,LOADING->SUPPORT
274,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
274,velocity_saturation,,1.0
275,velocity_saturation,,1.0000000000000002
276,touchdown,left,FLAT
276,velocity_saturation,,0.9999851150855028
279,velocity_saturation,,0.9999850830236486
284,liftoff,left,AIR
288,load_transition,right,SUPPORT->UNLOADING
292,touchdown,left,FLAT
292,load_transition,left,UNLOADING->LOADING
292,velocity_saturation,,0.9999990639837654
293,velocity_saturation,,0.9992807566403008
294,velocity_saturation,,0.9999949522586903
297,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
297,velocity_saturation,,1.0
298,liftoff,right,AIR
298,velocity_saturation,,0.999999071494246
299,load_transition,left,LOADING->SUPPORT
299,velocity_saturation,,1.0
302,touchdown,right,FLAT
302,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
312,liftoff,right,AIR
