frame_idx,event,side,value
0,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
0,velocity_saturation,,1.0
1,velocity_saturation,,1.0000000000000002
2,touchdown,left,FLAT
2,touchdown,right,FLAT
2,velocity_saturation,,1.0000000000000002
3,velocity_saturation,,1.0000000000000002
4,arm_branch_flip,right,-1
4,velocity_saturation,,1.0000000000000002
5,load_transition,left,UNLOADED->SUPPORT
5,load_transition,right,UNLOADED->SUPPORT
5,velocity_saturation,,1.0000000000000002
9,arm_branch_flip,left,-1
12,load_transition,right,SUPPORT->UNLOADING
12,velocity_saturation,,1.0000000000000002
13,velocity_saturation,,1.0000000000000002
14,velocity_saturation,,0.9998934083928531
19,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
19,velocity_saturation,,0.9999904738216134
21,velocity_saturation,,0.9999999449079718
24,velocity_saturation,,1.0000000000000002
25,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
25,velocity_saturation,,0.999998392160756
26,velocity_saturation,,1.0
27,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
30,load_transition,right,UNLOADING->LOADING
31,load_transition,left,SUPPORT->UNLOADING
34,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
38,velocity_saturation,,1.0000000000000002
40,velocity_saturation,,0.9999910589407519
42,velocity_saturation,,0.9999769204579797
43,load_transition,right,LOADING->SUPPORT
43,qp_infeasible,,Stage A: NoSolutionFound: QP solver proxqp failed to find a solution.
44,collision_constraint_activation,,v3_torso_proxy:v3_left_forearm_proxy
44,velocity_saturation,,0.9999946348111749
45,velocity_saturation,,0.9999931405726848
49,load_transition,left,UNLOADING->LOADING
50,load_transition,right,SUPPORT->UNLOADING
52,load_transition,left,LOADING->UNLOADING
53,load_transition,right,UNLOADING->SUPPORT
53,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
53,velocity_saturation,,0.9999997140722526
56,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
56,velocity_saturation,,1.0
57,velocity_saturation,,0.9999972977460745
62,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
68,velocity_saturation,,0.9999999928879003
69,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
69,velocity_saturation,,1.0
70,load_transition,left,UNLOADING->LOADING
70,velocity_saturation,,1.0000000000000002
71,load_transition,right,SUPPORT->UNLOADING
71,velocity_saturation,,0.9999942255132527
72,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
72,velocity_saturation,,1.0000000000000002
73,velocity_saturation,,1.0
74,load_transition,right,UNLOADING->SUPPORT
74,velocity_saturation,,1.0
75,velocity_saturation,,1.0
76,load_transition,right,SUPPORT->UNLOADING
77,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
80,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
80,velocity_saturation,,0.9999999999999999
81,load_transition,right,UNLOADING->SUPPORT
86,load_transition,left,LOADING->SUPPORT
86,load_transition,right,SUPPORT->UNLOADING
87,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
