frame_idx,event,side,value
0,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
0,velocity_saturation,,1.0
1,arm_branch_flip,left,-1
1,velocity_saturation,,1.0
2,touchdown,left,FLAT
2,touchdown,right,FLAT
5,load_transition,left,UNLOADED->UNLOADING
5,load_transition,right,UNLOADED->LOADING
6,arm_branch_flip,right,-1
11,liftoff,left,AIR
17,velocity_saturation,,0.999982848301867
20,touchdown,left,FLAT
26,liftoff,left,AIR
32,load_transition,right,LOADING->UNLOADING
32,velocity_saturation,,0.999996149287962
33,touchdown,left,FLAT
33,load_transition,left,UNLOADING->LOADING
37,velocity_saturation,,0.9999933081685476
42,load_transition,left,LOADING->SUPPORT
43,liftoff,right,AIR
47,arm_branch_flip,left,1
52,touchdown,right,FLAT
55,load_transition,left,SUPPORT->LOADING
58,liftoff,right,AIR
60,load_transition,left,LOADING->SUPPORT
65,load_transition,left,SUPPORT->UNLOADING
67,touchdown,right,FLAT
67,load_transition,right,UNLOADING->LOADING
73,liftoff,left,AIR
84,touchdown,left,FLAT
90,liftoff,left,AIR
98,load_transition,right,LOADING->UNLOADING
99,touchdown,left,FLAT
99,load_transition,left,UNLOADING->LOADING
108,liftoff,right,AIR
110,load_transition,left,LOADING->SUPPORT
118,load_transition,left,SUPPORT->LOADING
118,touchdown,right,FLAT
123,liftoff,right,AIR
126,load_transition,left,LOADING->SUPPORT
130,load_transition,left,SUPPORT->UNLOADING
132,load_transition,right,UNLOADING->UNLOADED
133,touchdown,right,FLAT
136,load_transition,right,UNLOADED->LOADING
140,liftoff,left,AIR
150,touchdown,left,FLAT
155,liftoff,left,AIR
163,load_transition,right,LOADING->UNLOADING
164,touchdown,left,FLAT
164,load_transition,left,UNLOADING->LOADING
173,liftoff,right,AIR
176,load_transition,left,LOADING->SUPPORT
180,load_transition,left,SUPPORT->LOADING
183,touchdown,right,FLAT
188,liftoff,right,AIR
192,load_transition,left,LOADING->SUPPORT
195,load_transition,left,SUPPORT->UNLOADING
197,touchdown,right,FLAT
197,load_transition,right,UNLOADING->LOADING
205,liftoff,left,AIR
214,touchdown,left,FLAT
220,liftoff,left,AIR
228,load_transition,right,LOADING->UNLOADING
229,touchdown,left,FLAT
229,load_transition,left,UNLOADING->LOADING
238,liftoff,right,AIR
241,load_transition,left,LOADING->SUPPORT
247,touchdown,right,FLAT
250,load_transition,left,SUPPORT->LOADING
253,load_transition,left,LOADING->SUPPORT
253,liftoff,right,AIR
260,load_transition,left,SUPPORT->UNLOADING
261,load_transition,right,UNLOADING->UNLOADED
262,touchdown,right,FLAT
265,load_transition,right,UNLOADED->LOADING
271,liftoff,left,AIR
279,touchdown,left,FLAT
286,liftoff,left,AIR
296,touchdown,left,FLAT
296,load_transition,left,UNLOADING->LOADING
296,load_transition,right,LOADING->UNLOADING
307,liftoff,right,AIR
309,load_transition,left,LOADING->SUPPORT
315,touchdown,right,FLAT
321,liftoff,right,AIR
331,load_transition,left,SUPPORT->UNLOADING
332,touchdown,right,FLAT
332,load_transition,right,UNLOADING->LOADING
347,liftoff,left,AIR
355,touchdown,left,FLAT
355,load_transition,left,UNLOADING->LOADING
372,load_transition,left,LOADING->SUPPORT
384,load_transition,left,SUPPORT->UNLOADING
402,load_transition,left,UNLOADING->SUPPORT
