frame_idx,event,side,value
1,arm_branch_flip,right,-1
2,touchdown,left,FLAT
2,touchdown,right,FLAT
5,load_transition,left,UNLOADED->SUPPORT
5,load_transition,right,UNLOADED->UNLOADING
19,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
21,liftoff,right,AIR
26,touchdown,right,FLAT
27,load_transition,left,SUPPORT->UNLOADING
29,load_transition,right,UNLOADING->LOADING
29,velocity_saturation,,1.0
30,velocity_saturation,,0.999999994715169
31,velocity_saturation,,0.9999948032461659
32,velocity_saturation,,0.9999999915781267
33,velocity_saturation,,0.999972193320689
34,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
34,velocity_saturation,,1.0000000000000002
35,velocity_saturation,,1.0000000000000002
36,liftoff,left,AIR
38,velocity_saturation,,0.9999982968723503
41,velocity_saturation,,1.0000000000000002
52,load_transition,right,LOADING->SUPPORT
54,touchdown,left,FLAT
54,load_transition,left,UNLOADING->LOADING
59,velocity_saturation,,0.9999957831660761
61,load_transition,right,SUPPORT->UNLOADING
61,velocity_saturation,,1.0000000000000002
64,velocity_saturation,,1.0
65,velocity_saturation,,1.0
66,velocity_saturation,,1.0
68,velocity_saturation,,1.0000000000000002
69,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
70,liftoff,right,AIR
72,velocity_saturation,,1.0000000000000002
73,load_transition,left,LOADING->SUPPORT
73,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
76,arm_branch_flip,left,1
76,velocity_saturation,,1.0000000000000002
80,arm_branch_flip,left,-1
82,load_transition,left,SUPPORT->LOADING
86,load_transition,left,LOADING->SUPPORT
89,load_transition,left,SUPPORT->UNLOADING
91,velocity_saturation,,1.0
93,touchdown,right,FLAT
93,load_transition,right,UNLOADING->LOADING
95,velocity_saturation,,0.9999847486313244
96,liftoff,left,AIR
98,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
98,velocity_saturation,,1.0
101,velocity_saturation,,1.0000000000000002
104,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
113,load_transition,right,LOADING->SUPPORT
120,load_transition,right,SUPPORT->LOADING
122,touchdown,left,FLAT
123,load_transition,right,LOADING->UNLOADING
125,load_transition,left,UNLOADING->LOADING
125,velocity_saturation,,0.9999999999999999
127,velocity_saturation,,0.999999990666185
128,velocity_saturation,,1.0000000000000002
129,liftoff,right,AIR
129,velocity_saturation,,0.9999981680029316
132,load_transition,left,LOADING->SUPPORT
132,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
132,velocity_saturation,,1.0000000000000002
133,velocity_saturation,,1.0
134,velocity_saturation,,1.0000000000000002
135,touchdown,right,FLAT
135,velocity_saturation,,0.9999988419579532
140,liftoff,right,AIR
148,load_transition,left,SUPPORT->UNLOADING
151,velocity_saturation,,1.0
154,touchdown,right,FLAT
154,load_transition,right,UNLOADING->LOADING
154,qp_infeasible,,Stage A: NoSolutionFound: QP solver proxqp failed to find a solution.
155,velocity_saturation,,1.0000000000000002
158,liftoff,left,AIR
158,velocity_saturation,,0.9999748803370273
160,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
164,velocity_saturation,,0.999957702556121
165,velocity_saturation,,1.0
169,load_transition,right,LOADING->SUPPORT
169,velocity_saturation,,0.9999766977209489
172,touchdown,left,FLAT
172,load_transition,left,UNLOADING->LOADING
174,load_transition,right,SUPPORT->UNLOADING
177,load_transition,right,UNLOADING->SUPPORT
181,load_transition,right,SUPPORT->UNLOADING
183,velocity_saturation,,1.0000000000000002
184,collision_constraint_activation,,v3_pelvis_proxy:v3_left_hand_proxy
184,velocity_saturation,,1.0000000000000002
185,velocity_saturation,,1.0
186,load_transition,right,UNLOADING->SUPPORT
186,velocity_saturation,,1.0
187,load_transition,right,SUPPORT->UNLOADING
188,load_transition,left,LOADING->SUPPORT
192,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
196,velocity_saturation,,0.9999999999999999
197,velocity_saturation,,0.9998973013799439
198,velocity_saturation,,0.9999997072793348
200,velocity_saturation,,1.0
201,load_transition,right,UNLOADING->SUPPORT
202,load_transition,left,SUPPORT->UNLOADING
204,velocity_saturation,,1.0
212,load_transition,left,UNLOADING->SUPPORT
213,load_transition,right,SUPPORT->UNLOADING
220,velocity_saturation,,0.9999994380717591
221,load_transition,right,UNLOADING->SUPPORT
222,velocity_saturation,,1.0
223,load_transition,left,SUPPORT->UNLOADING
223,load_transition,right,SUPPORT->UNLOADING
225,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
225,velocity_saturation,,1.0000000000000002
226,load_transition,left,UNLOADING->SUPPORT
226,load_transition,right,UNLOADING->SUPPORT
227,load_transition,left,SUPPORT->UNLOADING
227,load_transition,right,SUPPORT->UNLOADING
227,velocity_saturation,,1.0
228,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
228,velocity_saturation,,1.0
230,load_transition,left,UNLOADING->SUPPORT
230,load_transition,right,UNLOADING->SUPPORT
231,load_transition,left,SUPPORT->UNLOADING
234,load_transition,left,UNLOADING->SUPPORT
235,load_transition,right,SUPPORT->UNLOADING
235,velocity_saturation,,0.999983092911793
239,velocity_saturation,,1.0
240,load_transition,right,UNLOADING->SUPPORT
240,velocity_saturation,,0.9999997694437078
241,load_transition,left,SUPPORT->UNLOADING
241,load_transition,right,SUPPORT->UNLOADING
241,velocity_saturation,,0.9999999999999999
242,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
242,velocity_saturation,,0.9999998115948374
244,load_transition,left,UNLOADING->SUPPORT
244,load_transition,right,UNLOADING->SUPPORT
244,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
245,load_transition,right,SUPPORT->UNLOADING
253,velocity_saturation,,0.9999999390671936
254,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
255,load_transition,right,UNLOADING->SUPPORT
256,load_transition,right,SUPPORT->UNLOADING
266,load_transition,right,UNLOADING->SUPPORT
271,load_transition,left,SUPPORT->UNLOADING
274,load_transition,left,UNLOADING->SUPPORT
278,load_transition,right,SUPPORT->UNLOADING
280,velocity_saturation,,1.0
282,load_transition,right,UNLOADING->SUPPORT
283,load_transition,left,SUPPORT->UNLOADING
283,load_transition,right,SUPPORT->UNLOADING
284,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
286,load_transition,left,UNLOADING->SUPPORT
286,load_transition,right,UNLOADING->SUPPORT
292,velocity_saturation,,0.9999960658556476
293,velocity_saturation,,0.9999989482573151
294,load_transition,left,SUPPORT->UNLOADING
294,load_transition,right,SUPPORT->UNLOADING
295,velocity_saturation,,1.0000000000000002
297,load_transition,left,UNLOADING->SUPPORT
297,load_transition,right,UNLOADING->SUPPORT
299,velocity_saturation,,1.0
300,load_transition,left,SUPPORT->UNLOADING
304,load_transition,left,UNLOADING->SUPPORT
307,load_transition,right,SUPPORT->UNLOADING
309,velocity_saturation,,1.0
310,load_transition,right,UNLOADING->SUPPORT
